repo_id,repository_full_name,universe,authority_layer,current_codex_cloud_state,agents_sdk_applicability,required_environment,required_branch_policy,required_validators,required_readback,blockers,priority,propagation_status,next_gate
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_FULL_LIVE_GOVERNED_GLOBAL_CANON,baseline_anchor_full_live_global_governed,universo-rey/cabina-universal-d,codex/* from main,change_aware_full_coverage|operational_chain|capability_use_hardening|no_live_execution_required,2026-06-03_cabina_full_live_global_canon_update_readback.md,REAL_ENVIRONMENT_ID_PENDING_NONBLOCKING|MICROSOFT_TARGET_NOT_PROVIDED|PRODUCTION_TARGET_NOT_PROVIDED|PROPAGATION_TARGET_NOT_PROVIDED,0,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,open repo-by-repo lanes only after exact repo target owner rollback postcheck
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,COURT,COURT_TRANSVERSAL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,high_repo_native_runtime_alignment,SeshatSgin/tcu-agentic-runtime-control,codex/* from main,repo_native_synthetic_eval|secret_scan|diff_check,[POR DEFINIR],repo_native_order_required|exact target required before live,1,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,open repo-native branch only after exact repo gate
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,AGENTIC_RUNTIME,ENVIRONMENT_VISIBLE_READY_NO_DIFF,high_escribania_runtime_guardrail,SeshatSgin/tge-agentic-runtime-control-escribania,codex/* from main,repo_native_synthetic_eval|secret_scan|diff_check,[POR DEFINIR],tenant_write_requires_exact_object|live_requires_governed_gate,2,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare repo-native governed propagation packet
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,COURT,SESHAT_EVIDENCE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_evidence_and_privacy_boundary,SeshatSgin/seshat-bootstrap-sdu-cn,codex/* from main,ci/validate_repo.ps1|privacy_boundary_check,[POR DEFINIR],regulated data boundary required|Teams exact target required,3,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare privacy-safe repo-native governed packet
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,ESCRIBANIA,TGE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_policy_and_handoff_only,SeshatSgin/torre-gemela-escribania,codex/* from main,tge validators|secret_scan|diff_check,[POR DEFINIR],Microsoft live write requires exact object rollback postcheck,4,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare documentary governed gate
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,ESCRIBANIA,TGE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_compliance_triage_only,SeshatSgin/sgin-cumplimiento,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],Graph exact target required|regulated data boundary,5,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare governed compliance triage packet
SGIN,universo-rey/Sgin,COURT,SESHAT_EVIDENCE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_canon_triage_only,universo-rey/Sgin,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],canon authority must not be replaced,6,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare repo-native policy alignment gate
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,MODO_ON,MODO_ON_CONTROL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_provider_guardrail,SeshatSgin/cdf-soluciones,codex/* from main,cdf validators|secret_scan|diff_check,[POR DEFINIR],Microsoft live exact target required|provider boundary,7,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare governed provider triage packet
JARA_CONSULTORES,SeshatSgin/jara-consultores,MODO_ON,MODO_ON_CONTROL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,low_to_medium_provider_eval,SeshatSgin/jara-consultores,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],tenant writes require exact target|provider surface unclear,8,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare governed eval packet if needed
ORGANIZACION,universo-rey/organizacion,ROOT_CONTROL_PLANE,ROOT_REGISTRY,ENVIRONMENT_VISIBLE_READY_NO_DIFF,low_governance_reference,universo-rey/organizacion,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],avoid duplicate root authority,9,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,prepare registry-only governed crosswalk
