chain_id,applies_to,owner_agent,reviewer_agent,required_agent_source,required_skill_source,required_recipe_source,required_tool_source,required_validator_source,required_evidence_source,required_stop_condition_source,blocked_without_chain,status,validator,stop_condition
chain.chat_closeout_global,chat_or_readback_output,rey.control_plane_orchestrator,court.seshat_evidence,AGENTS.md|.agents/codex/routing.json,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_operational_chain.ps1,final_response_or_readback,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,closeout_without_agent_skill_recipe_tool_validator_evidence,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.repo_change_global,repo_durable_change,rey.repo_cartographer,court.seshat_evidence,.agents/codex/agents.json,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.github/workflows/cabina-validation.yml,branch_commit_push_pr_evidence,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,branch_or_pr_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.github_automation_global,github_automation,codex.workspace_guardian,rey.frontier_guardian,.agents/codex/matrices/GITHUB_AUTOMATION_PREFLIGHT_MATRIX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_github_automation_preflight.ps1,preflight_result,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,github_automation_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.live_runtime_order_global,live_api_runtime_permission_or_production_order,rey.frontier_guardian,court.sdu_gate,.agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv,.agents/codex/matrices/ORDER_CLASS_CAPABILITY_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_order_packets.ps1,governed_order_packet,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,live_or_api_order_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.parallel_subagent_global,parallel_or_subagent_lane,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/codex/skills/SUBSKILL_USAGE_MATRIX.csv,.agents/codex/recipes/SUBRECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_parallel_order_governance.ps1,parallel_lane_packet,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,parallel_lane_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.codex_cloud_governed_global,codex_cloud_remote_repo_task,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv,.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,codex_cloud_status_diff_or_readback,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,codex_cloud_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.capability_use_hardening_global,intake_assignment_derivation_execution,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,capability_use_preflight,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,execution_without_capability_preflight,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,capability_use_preflight_missing
chain.standard_agent_chain,codex_cloud_standard_agent_task,rey.control_plane_orchestrator,court.sdu_gate,.agents/codex/matrices/STANDARD_AGENT_CHAIN_20260603.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_operational_chain.ps1,.agents/codex/readbacks/2026-06-03_standard_agent_chain_activation.md,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,standard_agent_chain_without_operational_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.autonomous_agent_execution_global,local_github_or_codex_cloud_task_scoped_agent_execution,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_autonomous_agent_execution.ps1,autonomous_agent_execution_readback,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,autonomous_execution_without_governed_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,autonomous_agent_order_missing
chain.codex_environment_global,codex_app_local_worktree_or_cloud_environment_setup,court.openai_dispatcher,rey.frontier_guardian,.agents/codex/matrices/CODEX_APP_LOCAL_ENVIRONMENT_MATRIX_20260602.csv|.agents/codex/matrices/CODEX_ENVIRONMENT_CREATION_QUEUE_20260602.csv,.agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_codex_app_environments.ps1,codex_environment_readback,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,codex_environment_without_governed_chain,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,codex_app_environment_missing
chain.retrospective_learning_global,retrospective_skill_recipe_agent_learning,court.seshat_evidence,rey.control_plane_orchestrator,retrospectives/2026-06-03_OPERATIONAL_RETROSPECTIVE.md,retrospectives/skills/SKILL_CANONIZATION_DECISION_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_skill_recipe_agent_learning.ps1,readbacks/retrospectives/READBACK_SKILLS_RECIPES_AGENT_LEARNING_RETROSPECTIVE.md,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,retrospective_without_sources_or_validator,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_operational_chain.ps1,operational_chain_missing
chain.multi_canon_execution_engine,multi_repo_wave_execution_and_review_stabilization,rey.control_plane_orchestrator,rey.frontier_guardian,.agents/codex/matrices/MULTI_CANON_AGENT_CHAIN_MATRIX.csv,.agents/codex/skills/SKILL_USAGE_MATRIX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/local_validate_multi_canon_execution_engine.ps1,.agents/codex/readbacks/2026-06-14_multi_canon_execution_engine_wave2_readback.md,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv,multi_canon_wave_without_contract_or_gate,ACTIVE_GLOBAL,.agents/codex/tools/local_validate_multi_canon_execution_engine.ps1,agent_chain_missing_contract
