agent_id,agent_type,source_repo,source_matrix,level_id,universe_id,control_tower,repo_id,skills,recipes,tools,plugins,allowed_surfaces,blocked_surfaces,validator,postcheck,evidence,status,stop_condition
rey.control_plane_orchestrator,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,00_ROUTER,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-descubridor-capacidades|parallel-order-governance,recipe.router_intake_classification|recipe.parallel_agent_operation,tool.local_inventory|tool.routing_readback,Superpowers,local_governance|github_repo_scoped_when_ordered,microsoft_live|openai_api_live|production|secrets,local_validate_operational_chain.ps1,local_validate_operational_chain.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,operational_chain_missing
rey.frontier_guardian,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,01_AUTORIDAD_Y_GATES,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-descubridor-capacidades|repo-agent-tool-governance|governed-readback-closeout,recipe.gate_decision_packet|recipe.governed_order_preparation,tool.boundary_check|tool.secret_scan|tool.stop_condition_check,Superpowers,local_gates|order_preparation,microsoft_live|openai_api_live|production|secrets|permission_change,local_validate_operational_chain.ps1,local_validate_operational_chain.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,operational_chain_missing
rey.governance_registrar,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,02_REGISTRO_Y_CARTOGRAFIA,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-descubridor-capacidades|matrix-recipe-skill-sync|cabina-naming-analyzer,recipe.registry_enrichment|recipe.matrix_recipe_skill_sync,tool.csv_registry_check|tool.local_validate_agent_layer,Superpowers,local_registry,microsoft_live|openai_api_live|production|secrets,local_validate_operational_chain.ps1,local_validate_operational_chain.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,operational_chain_missing
rey.authority_canonist,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,01_AUTORIDAD_Y_GATES,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-descubridor-capacidades|repo-agent-tool-governance|governed-readback-closeout,recipe.gate_decision_packet,tool.canon_index_check|tool.stop_condition_check,Superpowers,local_canon,microsoft_live|openai_api_live|production|secrets,local_validate_operational_chain.ps1,local_validate_operational_chain.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,operational_chain_missing
rey.repo_cartographer,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,02_REGISTRO_Y_CARTOGRAFIA,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,github:github|github:yeet|cabina-commit-work|cabina-github-actions-templates,recipe.github_pr_lifecycle_governed|recipe.registry_enrichment,tool.git_status_readonly|tool.gh_remote_readonly|tool.github_versioning_flow,GitHub|Superpowers,github_repo_scoped|local_registry,force_push|remote_branch_delete|permissions|production|secrets,local_validate_operational_chain.ps1,gh pr checks,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,github_order_missing_checks
court.openai_dispatcher,court_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,openai-developers:agents-sdk|tcu-harness-evals-agentes|matrix-recipe-skill-sync,recipe.openai_local_agent_design|recipe.codex_cloud_governed_lane,tool.synthetic_eval_manifest|tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,OpenAI Developers|GitHub|Superpowers,local_synthetic|codex_cloud_readonly,openai_api_live|agents_sdk_live|cost|secret_materialization,local_validate_operational_chain.ps1,local_validate_codex_cloud_governed_lane.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,openai_api_live_requested_without_order
court.seshat_evidence,court_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,governed-readback-closeout|cabina-session-handoff|cabina-commit-work,recipe.evidence_acta_closeout|recipe.governed_readback_closeout,tool.readback_builder|tool.github_versioning_flow,GitHub|SharePoint|Superpowers,local_readbacks|github_repo_scoped_when_ordered,microsoft_live|openai_api_live|production|secrets,local_validate_operational_chain.ps1,readback closeout,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,retrospective_without_evidence
court.sdu_gate,court_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,01_AUTORIDAD_Y_GATES,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance,recipe.gate_decision_packet,tool.stop_condition_check|tool.boundary_check,SharePoint|Superpowers,local_gate_validation,microsoft_live|openai_api_live|production|secrets,local_validate_operational_chain.ps1,Change-Aware gate,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,coverage_loss|operational_chain_missing
court.thot_schema,court_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,03_CORTE_EJECUTORA,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,matrix-recipe-skill-sync|skill-judge|cabina-github-actions-templates,recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync,tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.local_validate_skill_metadata,OpenAI Developers|Superpowers,local_schema|validators,openai_api_live|production|secrets,local_validate_operational_chain.ps1,local_validate_agent_layer.ps1,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,schema_overwrite_without_owner
universe.escribania_tower,universe_tower_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,04_TORRES_DE_UNIVERSO,ESCRIBANIA,TGE,TORRE_GEMELA_ESCRIBANIA,sharepoint:sharepoint-site-discovery|sharepoint:sharepoint|governed-readback-closeout,recipe.universe_tower_handoff|recipe.governed_order_preparation,tool.surface_order_builder|tool.repo_alignment_runtime,SharePoint|GitHub|Superpowers,TGE local governance|order_preparation,sharepoint_write|teams_write|production|secrets,local_validate_operational_chain.ps1,TGE postcheck required,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,WRITE_BLOCKED_OBJECT_OR_ROLLBACK_MISSING
universe.modo_on_tower,universe_tower_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,04_TORRES_DE_UNIVERSO,MODO_ON,MODO_ON_CONTROL,CDF_SOLUCIONES,tcu-normalizador-sistema-modo-on|sharepoint:sharepoint|governed-readback-closeout,recipe.universe_tower_handoff|recipe.governed_order_preparation,tool.provider_boundary_check|tool.surface_order_builder,SharePoint|GitHub|Superpowers,MODO_ON local governance|order_preparation,microsoft_live|production|secrets,local_validate_operational_chain.ps1,CDF postcheck required,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,microsoft_live_requested_without_governed_order
rey.migration_planner,root_cabina_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,02_REGISTRO_Y_CARTOGRAFIA,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-planificador-con-archivos|tcu-redactor-planes-operativos,recipe.migration_preflight|recipe.registry_enrichment,tool.path_conflict_check|tool.git_status_readonly,GitHub|Superpowers,local_planning_only,move_clone_without_order|secrets|production,local_validate_operational_chain.ps1,migration postcheck required,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,unclassified_repo_move
tech.reference_librarian,technical_support_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,05_SOPORTE_TECNICO,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,openai-docs|mcp-builder|documents:documents|spreadsheets:Spreadsheets|presentations:Presentations,recipe.workspace_reference_audit|recipe.matrix_recipe_skill_sync,tool.reference_classifier|tool.plugin_registry_check,Documents|Spreadsheets|Presentations|OpenAI Developers,local_reference|docs,openai_api_live|microsoft_live|production|secrets,local_validate_operational_chain.ps1,reference source validator,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,reference_without_source
codex.workspace_guardian,technical_support_agent,universo-rey/cabina-universal-d,AGENTS_INDEX.csv|AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,05_SOPORTE_TECNICO,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,operativa-guardian:operativa-guardian-status|matrix-recipe-skill-sync|cabina-agent-md-refactor,recipe.workspace_reference_audit|recipe.repo_universe_alignment_runtime,tool.codex_workspace_audit|tool.plugin_registry_check,Operativa Guardian|GitHub|Superpowers,local_workspace,global_config_write|nested_repo_absorption|secrets,local_validate_operational_chain.ps1,workspace postcheck,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECONCILED,codex_workspace_drift
readonly_scout,subagent_class,universo-rey/cabina-universal-d,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_class,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-descubridor-capacidades|parallel-order-governance,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,Superpowers,local_filesystem_readonly,live_execution|secret_read|write_scope,local_validate_parallel_order_governance.ps1,local_validate_parallel_order_governance.ps1,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,RECONCILED,parallel_lane_without_validator
matrix_auditor,subagent_class,universo-rey/cabina-universal-d,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_class,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,skill-judge|matrix-recipe-skill-sync|parallel-order-governance,recipe.matrix_recipe_skill_sync|recipe.parallel_agent_operation,tool.local_validate_agent_layer|tool.parallel_dispatch_policy_check,Superpowers,.agents/codex/matrices,live_execution|schema_overwrite_without_owner,local_validate_parallel_order_governance.ps1,local_validate_agent_layer.ps1,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,RECONCILED,lane_scope_overlap
skill_recipe_auditor,subagent_class,universo-rey/cabina-universal-d,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_class,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,skill-creator|skill-judge|mcp-builder|parallel-order-governance,recipe.governed_order_preparation|recipe.openai_local_agent_design,tool.governed_order_packet_builder|tool.synthetic_eval_manifest,Superpowers,.agents/codex/skills|.agents/codex/recipes,openai_api_live|cost|secret_materialization,local_validate_parallel_order_governance.ps1,local_validate_skill_metadata.ps1,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,RECONCILED,openai_api_live_requested_without_order
order_packet_preparer,subagent_class,universo-rey/cabina-universal-d,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_class,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,tcu-redactor-planes-operativos|parallel-order-governance,recipe.governed_order_preparation,tool.governed_order_packet_builder,Superpowers,.agents/codex/orders,live_execution|self_approval|permission_change,local_validate_order_packets.ps1,local_validate_order_packets.ps1,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,MAPPED,order_packet_missing_required_fields
integration_reviewer,subagent_class,universo-rey/cabina-universal-d,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,subagent_class,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,governed-readback-closeout|parallel-order-governance,recipe.governed_readback_closeout|recipe.agent_workpaper_operation,tool.readback_builder|tool.workpaper_index_check,Superpowers,.agents/codex/readbacks|GitHub PR metadata,merge_without_order|fabricating_evidence,local_validate_parallel_order_governance.ps1,readback closeout,SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,RECONCILED,retrospective_without_evidence
