raci_id,decision_id,finding_id,capability,responsible,accountable,consulted,informed,gate_owner,evidence_owner,validator_owner,execution_surface,status,stop_condition
RACI001,D001,F001,github_repo_scoped_lifecycle,rey.repo_cartographer,rey.control_plane_orchestrator,rey.frontier_guardian,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,GitHub PR,ASSIGNED,github_order_missing_checks
RACI002,D002,F002,openai_agents_sdk_runtime_boundary,court.openai_dispatcher,rey.control_plane_orchestrator,court.sdu_gate,court.seshat_evidence,court.sdu_gate,court.seshat_evidence,court.thot_schema,OpenAI live governed,ASSIGNED,openai_api_live_requested_without_order
RACI003,D003,F003,microsoft_live_write_gate,universe.escribania_tower,rey.frontier_guardian,court.sdu_gate|court.thot_schema,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,Microsoft live governed gated,ASSIGNED,microsoft_live_requested_without_governed_order
RACI004,D004,F004,universe_boundary_separation,universe.modo_on_tower,rey.governance_registrar,universe.escribania_tower,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,repo metadata,ASSIGNED,microsoft_live_requested_without_governed_order
RACI005,D005,F005,human_gate_enforcement,court.sdu_gate,rey.frontier_guardian,rey.authority_canonist,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,gate packet,ASSIGNED,order_packet_missing_required_fields
RACI006,D006,F006,technical_reference_boundary,tech.reference_librarian,rey.authority_canonist,court.thot_schema,court.seshat_evidence,court.sdu_gate,court.seshat_evidence,court.thot_schema,reference library,ASSIGNED,source_reference_treated_as_canon
RACI007,D007,F007,workspace_root_guard,codex.workspace_guardian,rey.control_plane_orchestrator,rey.repo_cartographer,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,local worktree,ASSIGNED,nested_repo_absorption_risk
RACI008,D008,F008,worktree_migration_gate,rey.migration_planner,rey.frontier_guardian,rey.repo_cartographer|codex.workspace_guardian,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,local topology,ASSIGNED,nested_repo_absorption_risk
RACI009,D009,F009,readonly_scout_dispatch,subagent.readonly_scout,rey.control_plane_orchestrator,rey.frontier_guardian,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,parallel lane read-only,ASSIGNED,parallel_lane_without_validator
RACI010,D010,F010,matrix_auditor_lane_scope,subagent.matrix_auditor,court.thot_schema,rey.frontier_guardian,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,parallel lane matrix,ASSIGNED,lane_scope_overlap
RACI011,D011,F011,skill_recipe_audit_no_api_live,subagent.skill_recipe_auditor,court.openai_dispatcher,rey.frontier_guardian,court.seshat_evidence,court.sdu_gate,court.seshat_evidence,court.thot_schema,skill recipe audit,ASSIGNED,openai_api_live_requested_without_order
RACI012,D012,F012,order_packet_preparation,subagent.order_packet_preparer,rey.frontier_guardian,court.sdu_gate,court.seshat_evidence,rey.frontier_guardian,court.seshat_evidence,court.thot_schema,order packet,ASSIGNED,order_packet_missing_required_fields
RACI013,D013,F013,shared_index_serial_integration,subagent.integration_reviewer,court.seshat_evidence,court.thot_schema|rey.frontier_guardian,rey.control_plane_orchestrator,court.sdu_gate,court.seshat_evidence,court.thot_schema,shared index,ASSIGNED,lane_scope_overlap
