"wave_id","surface","path","branch","head","upstream","remote","status_count","modified_count","untracked_count","added_count","deleted_count","renamed_count","classification","risk","priority","recommendation","stop_condition","stage_allowed","mutation_allowed","evidence","status_short","files","diff_stat"
"W1_REPOS_DIRTY_TRIAGE_20260617","cabina-universal-d","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","main","28baec3","origin/main","origin https://github.com/universo-rey/cabina-universal-d.git (fetch)","2","2","0","0","2","0","CANON_OR_CONTEXT","HIGH","1","open_dedicated_canon_package_before_commit","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M 02_AUTHORITY_CANON/CURRENT_STATE.md |  M 02_AUTHORITY_CANON/REPO_OPERATING_CONTRACT_CABINA_UNIVERSAL_D_20260604.md","02_AUTHORITY_CANON/CURRENT_STATE.md | 02_AUTHORITY_CANON/REPO_OPERATING_CONTRACT_CABINA_UNIVERSAL_D_20260604.md"," 02_AUTHORITY_CANON/CURRENT_STATE.md                                 | 6 ++++++ |  .../REPO_OPERATING_CONTRACT_CABINA_UNIVERSAL_D_20260604.md          | 1 + |  2 files changed, 7 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","sdu-canon","C:\Users\enzo1\Documents\GitHub\sdu-canon","main","79f4c7b","origin/main","origin https://github.com/SeshatSgin/sdu-canon.git (fetch)","1","1","0","0","1","0","CANON_OR_CONTEXT","HIGH","2","open_dedicated_canon_package_before_commit","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M 00_CONTEXT/CURRENT_STATE.md","00_CONTEXT/CURRENT_STATE.md"," 00_CONTEXT/CURRENT_STATE.md | 8 ++++++++ |  1 file changed, 8 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","tcu-agentic-runtime-control","C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","main","20c19f7","origin/main","origin https://github.com/SeshatSgin/tcu-agentic-runtime-control.git (fetch)","1","1","0","0","1","0","README_ONLY","LOW","3","review_readme_diff_then_commit_or_leave_pending","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md","README.md"," README.md | 8 ++++++++ |  1 file changed, 8 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","tge-agentic-runtime-control-escribania","C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","main","acbb4b7","origin/main","origin https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git (fetch)","1","1","0","0","1","0","README_ONLY","LOW","4","review_readme_diff_then_commit_or_leave_pending","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md","README.md"," README.md | 8 ++++++++ |  1 file changed, 8 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","torre-gemela-escribania","C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania","main","3c8f6e1","origin/main","origin https://github.com/SeshatSgin/torre-gemela-escribania.git (fetch)","1","1","0","0","1","0","README_ONLY","LOW","5","review_readme_diff_then_commit_or_leave_pending","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md","README.md"," README.md | 8 ++++++++ |  1 file changed, 8 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","seshat-bootstrap-sdu-cn","C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","main","23ee0e2","origin/main","origin https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git (fetch)","9","3","6","0","9","0","EVIDENCE_OR_OPERATION_PACKAGE","MEDIUM","6","package_evidence_with_manifest_before_commit","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md |  M workspace/README.md |  M workspace/documents/drafts/README.md | ?? agents/sdu_cn/SDU_CN_CANON_COPILOT_PROMPT.md | ?? workspace/documents/drafts/ACTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | ?? workspace/documents/drafts/APERTURA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | ?? workspace/documents/drafts/MINUTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | ?? workspace/documents/drafts/ORDEN_VIVA_PARA_SESHAT.md | ?? workspace/documents/drafts/PRIMERA_INTERVENCION_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md","README.md | workspace/README.md | workspace/documents/drafts/README.md | agents/sdu_cn/SDU_CN_CANON_COPILOT_PROMPT.md | workspace/documents/drafts/ACTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | workspace/documents/drafts/APERTURA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | workspace/documents/drafts/MINUTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | workspace/documents/drafts/ORDEN_VIVA_PARA_SESHAT.md | workspace/documents/drafts/PRIMERA_INTERVENCION_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md"," README.md                            | 10 ++++++++++ |  workspace/README.md                  |  5 +++++ |  workspace/documents/drafts/README.md | 11 +++++++++++ |  3 files changed, 26 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","Sgin","C:\Users\enzo1\Documents\GitHub\Sgin","main","cfb494b","origin/main","origin https://github.com/universo-rey/Sgin.git (fetch)","2","1","1","0","1","0","EVIDENCE_OR_OPERATION_PACKAGE","MEDIUM","7","package_evidence_with_manifest_before_commit","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md | ?? torres/","README.md | torres/"," README.md | 4 ++++ |  1 file changed, 4 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","sgin-cumplimiento","C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","main","5edec3c","origin/main","origin https://github.com/SeshatSgin/sgin-cumplimiento.git (fetch)","1","1","0","0","1","0","README_ONLY","LOW","8","review_readme_diff_then_commit_or_leave_pending","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md","README.md"," README.md | 4 ++++ |  1 file changed, 4 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","cdf-soluciones","C:\Users\enzo1\Documents\GitHub\cdf-soluciones","main","211a2de","origin/main","origin https://github.com/SeshatSgin/cdf-soluciones.git (fetch)","7","3","4","0","7","0","CANON_OR_CONTEXT_PLUS_EVIDENCE","HIGH","9","split_context_and_evidence_package_before_commit","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M 00_CONTEXT/CURRENT_STATE.md |  M 00_CONTEXT/START_HERE.md |  M README.md | ?? 03_OPERACION/SESHAT_HOME_BINDING_DELEGATION/ | ?? 03_OPERACION/SESHAT_RESTO_CORTE_DELEGATION/ | ?? 08_EVIDENCIA/2026-06-16_CDF_SESHAT_HOME_BINDING_DELEGATION/ | ?? 08_EVIDENCIA/2026-06-16_CDF_SESHAT_RESTO_CORTE_DELEGATION/","00_CONTEXT/CURRENT_STATE.md | 00_CONTEXT/START_HERE.md | README.md | 03_OPERACION/SESHAT_HOME_BINDING_DELEGATION/ | 03_OPERACION/SESHAT_RESTO_CORTE_DELEGATION/ | 08_EVIDENCIA/2026-06-16_CDF_SESHAT_HOME_BINDING_DELEGATION/ | 08_EVIDENCIA/2026-06-16_CDF_SESHAT_RESTO_CORTE_DELEGATION/"," 00_CONTEXT/CURRENT_STATE.md | 53 +++++++++++++++++++++++++++++++++++++++++++++ |  00_CONTEXT/START_HERE.md    | 31 ++++++++++++++++++++++++++ |  README.md                   |  4 ++++ |  3 files changed, 88 insertions(+)"
"W1_REPOS_DIRTY_TRIAGE_20260617","jara-consultores","C:\Users\enzo1\Documents\GitHub\jara-consultores","main","96733d7","origin/main","origin https://github.com/SeshatSgin/jara-consultores.git (fetch)","1","1","0","0","1","0","README_ONLY","LOW","10","review_readme_diff_then_commit_or_leave_pending","repo_diff_unclassified","false","false","git status --porcelain=v1; git diff --name-status; git diff --stat"," M README.md","README.md"," README.md | 4 ++++ |  1 file changed, 4 insertions(+)"
