"connector_id","surface","status","path","allowed","blocked","gate","owner","postcheck","notes"
"github_cli","GitHub","AUTH_PRESENT_NO_WRITE","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Links\gh.exe","read/status when ordered","push,PR,workflow_dispatch,merge","github_owner_gate","faraday.integration_guard","git status and readback","No remote write in this wave"
"pac_dataverse","Dataverse/PAC","CONFIG_PRESENT_NOT_EXECUTED","C:\CEO\tools\pac\microsoft.powerapps.cli.2.8.1\tools\pac.exe","version/auth status/read-only with gate","solution import/export,table mutation,Dataverse write","dataverse_owner_gate","thot_schema","Dataverse gate readback","No PAC live execution in this wave"
"openai_developers","OpenAI Developers","GATED_ON_DEMAND","openai-developers skills","docs/error classification/safe key presence","new key,secret print,uncontrolled API call","openai_secret_safe_gate","tech.reference_librarian","no_secret_print","No OpenAI live call in W5"
"data_analytics","Data Analytics","CONNECTED_READ_OK","data-analytics:index","local CSV/workbook/readback analysis","raw export or live connector read without target","source_access_gate","faraday.integration_guard","source evidence","Use semantic layer first"
"microsoft_365_read","Microsoft 365","GATED_ON_DEMAND","sharepoint/teams/outlook connector skills","narrow read when target exists","write,permission mutation,broad export","microsoft_owner_gate","anubis.frontier_guardian","surface-specific readback","No Microsoft live write"
"mcp_config","MCP","CONFIG_PRESENT_NOT_EXECUTED","VS Code Azure MCP extension","inventory/config read","MCP execution,Azure mutation","mcp_owner_gate","anubis.frontier_guardian","MCP gate readback","Config only"
"vscode_insiders","VS Code Insiders","CONNECTED_READ_OK","C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin\code-insiders.cmd","--version,--status,--list-extensions","settings mutation,DB/cache cleanup","ide_mutation_gate","codex.workspace_guardian","Invoke-CabinaGovernancePrecheck.ps1","Control-plane IDE"
"codex_cli_extension","Codex IDE extension","CONFIG_PRESENT_NOT_EXECUTED","openai.chatgpt extension codex.exe app-server","status evidence","cloud delegate without gate","codex_cloud_gate","codex.workspace_guardian","VS Code status","Visible in Code Insiders status"
"node_npm","Node/npm","CONNECTED_READ_OK","C:\Users\enzo1\AppData\Local\Microsoft\WinGet\Packages\OpenJS.NodeJS.LTS_Microsoft.Winget.Source_8wekyb3d8bbwe\node-v24.17.0-win-x64","version/local scripts when ordered","install/update without gate","dependency_owner_gate","codex.workspace_guardian","no package mutation unless scoped","Use full path if PATH drifts"
"python_venv","Python","CONNECTED_READ_OK","C:\CEO\project-cdx\.venv\Scripts\python.exe","validators/tests","pip install without gate","dependency_owner_gate","thot_schema","pytest and tools.validate","Canonical Python runner"
