matrix_id,path,source_repo,scope,governs_layer,governs_agent_scope,governs_capability_scope,linked_agent_matrix,linked_skill_matrix,linked_recipe_matrix,linked_tool_matrix,linked_live_lane_matrix,status,gap,next_action
matrix_index,.agents/codex/matrices/MATRIX_INDEX.csv,universo-rey/cabina-universal-d,global_matrix_index,02_REGISTRO_Y_CARTOGRAFIA,root_or_support,governance,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_primary_matrix_map
agent_default_skill_assignment_matrix,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,universo-rey/cabina-universal-d,agent_defaults,03_CORTE_EJECUTORA,root_and_court_agents,skill_recipe_tool_plugin,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_root_agent_source
recipe_index,.agents/codex/recipes/RECIPE_INDEX.csv,universo-rey/cabina-universal-d,recipes,03_CORTE_EJECUTORA,root_and_court_agents,recipe,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_recipe_source
tool_index,.agents/codex/tools/TOOL_INDEX.csv,universo-rey/cabina-universal-d,tools,03_CORTE_EJECUTORA,root_and_court_agents,tool,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_tool_source
subagent_alias_map,.agents/codex/agents/SUBAGENT_ALIAS_MAP.csv,universo-rey/cabina-universal-d,parallel_agents,00_ROUTER,global_subagent_alias,subagent,AGENT_CAPABILITY_GRAPH_20260603.csv,SUBSKILL_USAGE_MATRIX.csv,SUBRECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_subagent_alias_source
subagent_capability_assignment_matrix,.agents/codex/matrices/SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv,universo-rey/cabina-universal-d,parallel_agents,00_ROUTER,subagent_class,subagent_capability,AGENT_CAPABILITY_GRAPH_20260603.csv,SUBSKILL_USAGE_MATRIX.csv,SUBRECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_subagent_capability_source
autonomous_agent_execution_matrix,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,universo-rey/cabina-universal-d,autonomous_agent_execution,03_CORTE_EJECUTORA,autonomous_task_scoped,codex_cloud,AGENT_CAPABILITY_GRAPH_20260603.csv,tcu-descubridor-capacidades,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_autonomous_execution_source
live_delta_reconciliation_matrix,.agents/codex/matrices/LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,universo-rey/cabina-universal-d,live_delta_reconciliation,00_ROUTER,live_delta_lanes,live_surface|repo_authority|evidence,AGENT_CAPABILITY_GRAPH_20260603.csv,AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,RECIPE_INDEX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,RECONCILED,NO_GAP,keep_as_lane_source
source_cdf_agent_skill_recipe_tool_plugin_matrix,.agents/codex/matrices/SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,SeshatSgin/cdf-soluciones,cdf_source,04_TORRES_DE_UNIVERSO,cdf_staff_agent,skill_recipe_tool_plugin,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
source_cdf_sharepoint_plugin_skill_adoption_matrix,.agents/codex/matrices/SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,SeshatSgin/cdf-soluciones,cdf_source,04_TORRES_DE_UNIVERSO,cdf_staff_agent,sharepoint_ia,AGENT_CAPABILITY_GRAPH_20260603.csv,SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,TOOL_INDEX.csv,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,MAPPED,NO_GAP,keep_as_source_not_canon
