asset_id,asset_type,source,status,owner_agent,cdf_use,trigger,blocked_condition,output_artifact,validation
recipe-001,recipe,03_OPERACION/SHAREPOINT_SPECIALIZATION/expert_prompt_capability_pack/recipes/CDF_SHAREPOINT_PROPOSAL_IMPROVEMENT_RECIPE.md,ACTIVE_REPO_LOCAL,cdf.sharepoint_sgsd_site_improvement_agent,improve SharePoint proposals without rediscovery,SGSD-TC proposal or home/site improvement,live mutation requested without gate,proposal review brief,validate_cdf_sharepoint_expert_prompt_pack.py
recipe-002,recipe,03_OPERACION/OPENAI_API_EFFICIENCY_POLICY/recipes/CDF_OPENAI_API_EFFICIENCY_VECTOR_BATCH_RECIPE.md,ACTIVE_GATED,cdf.rag_search_architect,select API/Batch/Vector route,OpenAI/API/vector/batch decision,raw data or no manifest,API decision matrix,validate_cdf_openai_api_efficiency_vector_batch_policy.py
recipe-003,recipe,03_OPERACION/OPENAI_BATCH_VECTOR_PREFLIGHT_LOTE_1/recipes/CDF_OPENAI_BATCH_VECTOR_PREFLIGHT_RECIPE.md,ACTIVE_GATED,cdf.rag_search_architect,prepare batch/vector preflight,approved sanitized corpus candidate,no human approval for resource creation,preflight manifest,validate_cdf_openai_batch_vector_preflight_lote1.py
recipe-004,recipe,03_OPERACION/OPENAI_BATCH_VECTOR_EXECUTE_LOTE_1/recipes/CDF_OPENAI_BATCH_VECTOR_EXECUTE_RECIPE.md,ACTIVE_GATED,cdf.rag_search_architect,execute approved OpenAI resources with hashed manifests,exact execute approval present,missing approval or sensitive payload,hashed manifests/readback,validate_cdf_openai_batch_vector_execute_lote1.py
recipe-005,recipe,03_OPERACION/REPO_SPECIFIC_STATE_APPLICATION_LOTE_1/recipes/CDF_REPO_SPECIFIC_STATE_APPLICATION_RECIPE.md,ACTIVE_NO_RUNTIME,cdf.evidence_validator,apply state semantics by repo,repo-specific state cleanup,Microsoft/runtime scope appears,repo PR package,validate_cdf_repo_specific_state_application_lote1.py
recipe-006,recipe,03_OPERACION/REPO_SPECIFIC_STATE_APPLICATION_LOTE_2/recipes/CDF_REPO_SPECIFIC_STATE_APPLICATION_LOTE_2_RECIPE.md,ACTIVE_NO_RUNTIME,cdf.evidence_validator,apply handoff traceability,repo-specific handoff links needed,live tenant work appears,traceability PR package,validate_cdf_repo_specific_state_application_lote2.py
skill-001,skill,03_OPERACION/GLOBAL_KNOWLEDGE_AUDIT/skills/cdf-global-repo-knowledge-auditor/SKILL.md,ACTIVE_REPO_LOCAL,cdf.solution_architect,audit multi-repo knowledge,global repo state ambiguity,calling metadata-only runtime proof,findings matrix,validate_cdf_global_repo_knowledge_audit.py
skill-002,skill,03_OPERACION/STATE_SEMANTICS_OWNER_IDENTITY_NORMALIZATION/skills/cdf-state-semantics-owner-normalizer/SKILL.md,ACTIVE_REPO_LOCAL,cdf.evidence_validator,normalize state/owner/canon claims,ambiguous ready/live/open PR wording,overwriting chronological history,normalization matrix,validate_cdf_state_semantics_owner_identity_normalization_lote1.py
skill-003,skill,03_OPERACION/OPENAI_API_EFFICIENCY_POLICY/skills/cdf-openai-efficiency-vector-batch-governor/SKILL.md,ACTIVE_REPO_LOCAL,cdf.rag_search_architect,govern OpenAI API efficiency,API Batch Vector File Search decision,API fresh without gate,efficiency strategy,validate_cdf_openai_api_efficiency_vector_batch_policy.py
skill-004,skill,03_OPERACION/SHAREPOINT_SPECIALIZATION/expert_prompt_capability_pack/skills/cdf-sharepoint-expert-committee/SKILL.md,ACTIVE_REPO_LOCAL,cdf.sharepoint_sgsd_site_improvement_agent,review SharePoint proposal quality,site proposal needs professional review,decorative-only proposal,expert review output,validate_cdf_sharepoint_expert_prompt_pack.py
tge-ref-001,skill,TGE skill_tge_no_dump_evidence,ADOPT_AS_REFERENCE,cdf.evidence_validator,no-dump evidence rule,any live/read-only evidence summary,raw bodies raw ids raw URLs committed,sanitized evidence rule,validate_cdf_agent_runtime_capability_alignment.py
tge-ref-002,recipe,TGE recipe_tge_sgsd_order_queue_enqueuer_loop,ADAPT_TO_CDF_GATE,cdf.project_manager_delegador,ordered SGSD traceability,agent/flow/Planner/Dataverse action,missing dictamen gate evidence readback,agent order,validate_cdf_agent_runtime_capability_alignment.py
