"canonical_skill_id","alias_skill_id","alias_path","reason","merge_allowed","status"
"chatgpt-global:agents-sdk","openai-developers:agents-sdk","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\agents-sdk\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:agents-sdk","openai-developers:agents-sdk","C:\Users\enzo1\.codex\plugins\cache\openai-curated\openai-developers\015c0dff\skills\agents-sdk\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:agents-sdk","plugin-install-L6UY8F:agents-sdk","C:\Users\enzo1\.codex\plugins\cache\openai-curated\plugin-install-L6UY8F\openai-developers\49cdfb0d\skills\agents-sdk\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:analyze-data-quality","data-analytics:analyze-data-quality","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\analyze-data-quality\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:audit","product-design:audit","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\product-design\0.1.46\skills\audit\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:build-chatgpt-app","openai-developers:build-chatgpt-app","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\build-chatgpt-app\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:build-chatgpt-app","openai-developers:build-chatgpt-app","C:\Users\enzo1\.codex\plugins\cache\openai-curated\openai-developers\015c0dff\skills\build-chatgpt-app\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:build-dashboard","data-analytics:build-dashboard","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\build-dashboard\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:build-report","data-analytics:build-report","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\build-report\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:chatgpt-app-submission","openai-developers:chatgpt-app-submission","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\chatgpt-app-submission\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:chatgpt-app-submission","openai-developers:chatgpt-app-submission","C:\Users\enzo1\.codex\plugins\cache\openai-curated\openai-developers\015c0dff\skills\chatgpt-app-submission\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:design-kpis","data-analytics:design-kpis","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\design-kpis\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:design-qa","product-design:design-qa","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\product-design\0.1.46\skills\design-qa\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:gather-business-context","data-analytics:gather-business-context","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\gather-business-context\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:get-context","product-design:get-context","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\product-design\0.1.46\skills\get-context\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:gh-address-comments","github:gh-address-comments","C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\github\0.1.5\skills\gh-address-comments\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
"chatgpt-global:gh-address-comments","github:gh-address-comments","C:\Users\enzo1\.codex\plugins\cache\openai-curated\github\015c0dff\skills\gh-address-comments\SKILL.md","plugin cache duplicate/reference; do not merge into canon by default","false","PLUGIN_CACHE_REFERENCE"
