subrecipe_id,parent_recipe,primary_agent,input,output,validator,stop_condition
subrecipe.parallel-readonly-scouts,recipe.parallel_agent_operation,rey.control_plane_orchestrator,independent_questions,scout_readbacks,.agents/codex/tools/local_validate_parallel_order_governance.ps1,parallel_lane_without_validator
subrecipe.parallel-disjoint-workers,recipe.parallel_agent_operation,rey.frontier_guardian,declared_file_sets,worker_diffs_by_owner,.agents/codex/tools/local_validate_parallel_order_governance.ps1,lane_scope_overlap
subrecipe.parallel-verifier,recipe.parallel_agent_operation,court.seshat_evidence,merged_or_ready_diff,validator_evidence_readback,.agents/codex/tools/local_validate_parallel_order_governance.ps1,retrospective_without_evidence
subrecipe.git-order,recipe.governed_order_preparation,rey.repo_cartographer,repo_branch_pr_request,github_order_packet,.agents/codex/tools/local_validate_order_packets.ps1,github_order_missing_checks
subrecipe.one-flow-one-item-safe-state,recipe.one-flow-one-item-runtime-test,court.sdu_gate,exact_flow_and_item,runtime_safe_state_postcheck,.agents/codex/tools/local_validate_skill_recipe_agent_learning.ps1,more_than_one_item_or_active_flow
subrecipe.retrospective-learning-package,recipe.retrospective-to-skill-propagation,court.seshat_evidence,closed_frontier_evidence,skill_recipe_agent_learning_package,.agents/codex/tools/local_validate_skill_recipe_agent_learning.ps1,retrospective_source_missing
subrecipe.backreference-exactness,recipe.backreference-target-mapping-before-write,rey.frontier_guardian,processed_queue_item,target_candidate_decision,.agents/codex/tools/local_validate_backreference_runtime_closure.ps1,candidate_count_not_one
subrecipe.mapping-record-evidence,recipe.mapping-record-before-target-write,court.seshat_evidence,deterministic_queue_keys,mapping_record_postcheck,.agents/codex/tools/local_validate_backreference_runtime_closure.ps1,missing_keys_or_target_guess
subrecipe.live-order,recipe.governed_order_preparation,rey.frontier_guardian,live_or_permission_request,live_order_packet,.agents/codex/tools/local_validate_order_packets.ps1,microsoft_live_requested_without_governed_order
subrecipe.openai-order,recipe.openai_local_agent_design,court.openai_dispatcher,api_cost_agent_request,openai_order_packet,.agents/codex/tools/local_validate_order_packets.ps1,openai_api_live_requested_without_order
subrecipe.prompt-pack,recipe.openai_local_agent_design,court.openai_dispatcher,local_prompt_design_request,prompt_pack,.agents/codex/tools/local_validate_parallel_order_governance.ps1,openai_api_live_requested_without_order
subrecipe.synthetic-eval,recipe.openai_local_agent_design,court.thot_schema,local_eval_design_request,synthetic_eval_manifest,.agents/codex/tools/local_validate_parallel_order_governance.ps1,openai_api_live_requested_without_order
