node_id,parent_node_id,level,agent_id,org_role,decision_scope,linked_raci_rows,linked_workflow_steps,authority_boundary,escalates_to,status,stop_condition
ORG001,ROOT,0,rey.control_plane_orchestrator,executive_orchestrator,intake dispatch next lane authorization,RACI001|RACI002|RACI007|RACI009,RED006,repo-scoped GitHub PR only,rey.frontier_guardian,ACTIVE,capability_use_preflight_missing
ORG002,ORG001,1,rey.frontier_guardian,frontier_and_gate_owner,live cost production worktree remote mutation gates,RACI003|RACI005|RACI008|RACI009|RACI010|RACI011|RACI012,RED003|RED010,human gate required for ready merge live production or critical surface,HUMAN_APPROVAL,ACTIVE,human_gate_required_for_ready_or_merge
ORG003,ORG001,1,court.openai_dispatcher,runtime_boundary_owner,OpenAI and Agents SDK runtime boundary,RACI002|RACI011,RED001,OpenAI live already executed no re-run in this PR,rey.frontier_guardian,ACTIVE,openai_api_live_requested_without_order
ORG004,ORG002,2,court.sdu_gate,decision_gate_reviewer,gated retained serialized and executable decisions,RACI002|RACI005|RACI011|RACI012|RACI013,RED005,does not self approve live or production,rey.frontier_guardian,ACTIVE,order_packet_missing_required_fields
ORG005,ORG001,1,court.seshat_evidence,evidence_owner,findings readback PR evidence and closeout,RACI001|RACI002|RACI003|RACI004|RACI005|RACI006|RACI007|RACI008|RACI009|RACI010|RACI011|RACI012|RACI013,RED001|RED009,evidence only no external record write,rey.frontier_guardian,ACTIVE,readback_missing
ORG006,ORG001,1,court.thot_schema,validator_owner,matrix schema validators coverage and workflow consistency,RACI003|RACI006|RACI010|RACI013,RED004|RED008,local validators only no tool live execution,rey.frontier_guardian,ACTIVE,validator_failed_actionable
ORG007,ORG001,2,rey.repo_cartographer,repo_scope_owner,GitHub repo branch dirty state and write scope,RACI001|RACI007|RACI008,RED002,read and classify unless repo-scoped write is authorized,rey.frontier_guardian,ACTIVE,github_order_missing_checks
ORG008,ORG001,2,rey.authority_canonist,canon_alignment_owner,authority source canon and reference separation,RACI005|RACI006,RED002,does not mutate canon outside PR scope,HUMAN_APPROVAL,ACTIVE,source_reference_treated_as_canon
ORG009,ORG002,2,universe.escribania_tower,microsoft_live_surface_owner,Microsoft live write boundary for ESCRIBANIA,RACI003|RACI004,RED003,Microsoft live write gated not executed,rey.frontier_guardian,ACTIVE,microsoft_live_requested_without_governed_order
ORG010,ORG002,2,universe.modo_on_tower,provider_universe_owner,MODO_ON provider surface separation,RACI004,RED002,provider boundary retained no merge with ESCRIBANIA,rey.governance_registrar,ACTIVE,microsoft_live_requested_without_governed_order
ORG011,ORG006,2,tech.reference_librarian,reference_boundary_owner,technical references non-authoritative,RACI006,RED002,reference only not canon,rey.authority_canonist,ACTIVE,source_reference_treated_as_canon
ORG012,ORG002,2,codex.workspace_guardian,workspace_topology_owner,worktree root PR and local topology,RACI007|RACI008,RED007,local worktree only no clone move,rey.frontier_guardian,ACTIVE,nested_repo_absorption_risk
ORG013,ORG001,3,subagent.readonly_scout,delegated_readonly_lane,read-only scouting under lane fields,RACI009,RED007,read-only only no write,rey.control_plane_orchestrator,ACTIVE,parallel_lane_without_validator
ORG014,ORG006,3,subagent.matrix_auditor,delegated_matrix_lane,matrix audit with disjoint file set,RACI010,RED007,serialize if shared index overlap,court.thot_schema,ACTIVE,lane_scope_overlap
ORG015,ORG003,3,subagent.skill_recipe_auditor,delegated_skill_recipe_lane,skill recipe audit without API live,RACI011,RED007,no API live without gate,court.openai_dispatcher,ACTIVE,openai_api_live_requested_without_order
ORG016,ORG002,3,subagent.order_packet_preparer,delegated_order_packet_lane,owner rollback postcheck packet preparation,RACI012,RED007,prepare only no live execution,rey.frontier_guardian,ACTIVE,order_packet_missing_required_fields
ORG017,ORG005,3,subagent.integration_reviewer,delegated_serial_integration_lane,shared index serial integration,RACI013,RED007,serial only no parallel shared index write,court.seshat_evidence,ACTIVE,lane_scope_overlap
