area,files,subdirs,layer,impact,status,evidence
.github,9,4,ci,alto,READY,"6 workflows; 5 read-only; promote manual write"
src,76,11,code,alto,READY,"packages: launch_desk; metadata; projec_cdx_cloud; runtime_versioning"
tools,63,2,execution,alto,READY,"runtime wrappers; sentinel; validators; Dataverse tools"
tests,28,1,validation,alto,READY,"53 passed; 1 skipped"
operativa,531,8,evidence,alto,READY,"actas; gates; readbacks; snapshots; matrices"
docs,47,22,documental,medio,READY,"documentation tree and cloud governed doc"
hitos,357,67,evidence,medio,READY,"historical closeouts and milestones"
inventarios,60,0,index,medio,READY,"inventories and reconciliation matrices"
dataverse,27,0,model,medio,READY_READ_ONLY,"metadata/read tools; no live write in audit"
atomic,9,0,canon,medio,READY,"atomic contract and maps"
workbooks,14,1,evidence,medio,READY,"workbook layer assets"
outputs,134,12,generated,bajo,OBSERVED,"generated/final outputs; not runtime critical"
launch-desk,9,4,application,bajo,READY,"Launch Desk surface"
packages,4,0,package,bajo,READY,"package surface"
patrones,20,0,governance,bajo,READY,"reusable patterns"
playbooks,10,0,governance,bajo,READY,"execution playbooks"
procesos,27,0,governance,bajo,READY,"repeatable processes"
recipes,17,0,governance,bajo,READY,"recipes"
scripts,1,1,support,bajo,READY,"support scripts"
.agent,1,0,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.cache,5,1,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.cursor,1,0,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.opencode,2,0,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.pytest_cache,5,2,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.ruff_cache,12,1,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
.vscode,1,0,local_ignored,bajo,IGNORED_LOCAL,"git status --ignored"
