recommended_order,execution_id,source_gate,gate_name,surface,repo_or_system,current_status,decision,rationale
1,0.3.12,0.2.14,Dependabot PR review packet,github,universo-rey/projec-cdx,READY_FOR_LOCAL_REVIEW,REVIEW_BEFORE_REMOTE_WRITE,Labels now exist and PR review can be classified without tenant/live writes
2,0.3.13,0.2.7,Cabina runtime CI failure triage,github,cabina-universal-d,READY_FOR_LOCAL_TRIAGE,REMOTE_LOG_PACKET_REQUIRED,CI triage can classify email evidence before remote logs
3,0.3.4,0.2.5,Dataverse DEV precheck hardening,github,cabina-universal-d,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Patch packet before Dataverse live
4,0.3.5,0.2.6,Power Automate validator enforcement,github,cabina-universal-d,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Validator gate before Power Platform mutation
5,0.3.10,0.2.12,Bridge auth validator hardening,github,cabina-universal-d,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Local auth hardening before bridge execution
6,0.3.9,0.2.11,Agent memory boundary hardening,github,cabina-universal-d,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Memory boundary before autosync risk
7,0.3.11,0.2.13,Agile Canvas postcheck enforcement,github,cabina-universal-d,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Postcheck before ready claims
8,0.3.6,0.2.8,SDU-CN gate ID canonicalization,github,SeshatSgin/seshat-bootstrap-sdu-cn,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Canon IDs before prompt/tool alignment
9,0.3.7,0.2.9,SDU-CN prompt/tool enum alignment,github,SeshatSgin/seshat-bootstrap-sdu-cn,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Tool enum follows gate ID canon
10,0.3.8,0.2.10,SDU-CN validator CI registration,github,SeshatSgin/seshat-bootstrap-sdu-cn,READY_FOR_PACKET,REMOTE_REPO_PATCH_GATE,Validator registration after canon surfaces
11,0.3.1,0.2.1,Change-aware evidence cabina sync,github,cabina-universal-d,READY_FOR_REMOTE_GATE,REMOTE_REPO_GATE,Remote evidence sync after validators
12,0.3.2,0.2.2,PR130 constitution sync,github,cabina-universal-d,READY_FOR_REMOTE_GATE,CANON_OWNER_GATE,Canon sync after evidence readiness
13,0.3.3,0.2.4,SDU-CN issue prep remote alignment,github,SeshatSgin/seshat-bootstrap-sdu-cn,READY_FOR_REMOTE_GATE,REMOTE_REPO_GATE,Remote issue prep after SDU-CN packets
