slot,task_label,command,status,capability,gate_required,decision
status,CEO Command: Status,CEO IDE status/workspace/terminal tasks,READY,Estado rapido IDE,false,enabled_in_palette
workspace,CEO IDE: Workspace Control,tools/ceo-ide-workspace-status.ps1,READY,Workspace Governance,false,enabled_in_palette
terminal,CEO IDE: Terminal Status,tools/ceo-ide-terminal-status.ps1,READY,Governed IDE Terminal,false,enabled_in_palette
doctor,CEO Command: Doctor,tools/ceo-cabina-doctor.ps1,READY,Cabina Doctor,false,enabled_in_palette
watchdog,CEO Command: Watchdog,tools/ceo-runtime-sentinel.ps1 --json,READY,Runtime Sentinel,false,enabled_in_palette
telemetry,CEO Command: Telemetry,tools/ceo-runtime-state.ps1 --json,READY,Runtime State,false,enabled_in_palette
validate,CEO Command: Validate Metadata,.venv/Scripts/python.exe -m tools.validate,READY,Metadata Validate,false,enabled_in_palette
agent-map,CEO Command: Agent Map,tools/ceo-agent-map.ps1,READY,Agent Chain Map,false,enabled_in_palette
mcp-status,CEO Command: MCP Status,tools/ceo-mcp-status.ps1,READY,MCP Hub Status,false,enabled_in_palette
command-index,CEO Command: Index,tools/ceo-ide-command-index.ps1,READY,IDE Command Surface,false,enabled_in_palette
command-test,CEO Command: Test,tools/ceo-ide-command-test.ps1,READY,IDE Command Surface Test,false,enabled_in_palette
remote-ready,CEO Command: Remote Ready,tools/ceo-remote-ready.ps1,CANDIDATE_MISSING,Remote Publication Readiness,true,defer_to_remote_publication_delta
