gate_0_5,source_gate_0_4,target_repo,branch_name,remote_write_allowed,pr_allowed,workflow_dispatch_allowed,live_surface_allowed,secret_read_allowed,owner_required,rollback_required,postcheck_required,decision
0.5.0,0.4.x_bridge_auth_token_placeholder,universo-rey/cabina-universal-d,codex/sdu-0.5.0-bridge-auth-fail-closed,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.1,0.4.1,universo-rey/cabina-universal-d,codex/sdu-0.5.1-bridge-loopback-mcp-gating,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.2,0.4.0,universo-rey/cabina-universal-d,codex/sdu-0.5.2-bridge-auth-validator-route-check,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.3,0.4.3,universo-rey/cabina-universal-d,codex/sdu-0.5.3-dataverse-dev-precheck-dry-run,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.4,0.4.2,universo-rey/cabina-universal-d,codex/sdu-0.5.4-power-automate-validator-enforcement,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.5,0.4.12,universo-rey/cabina-universal-d,codex/sdu-0.5.5-cabina-runtime-ci-log-triage,false,false,false,false,false,true,true,true,READY_FOR_OPERATOR_LOG_EXPORT_OR_OWNER_AUTHORIZATION
0.5.6,0.4.9,SeshatSgin/seshat-bootstrap-sdu-cn,codex/sdu-0.5.6-sdu-cn-gate-id-canonicalization,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.7,0.4.10,SeshatSgin/seshat-bootstrap-sdu-cn,codex/sdu-0.5.7-order-viva-not-live-tool-enum,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.8,0.4.11,SeshatSgin/seshat-bootstrap-sdu-cn,codex/sdu-0.5.8-validator-manifest-ci-registration,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.9,0.4.9,SeshatSgin/seshat-bootstrap-sdu-cn,codex/sdu-0.5.9-issue-prep-consistency,false,false,false,false,false,true,true,true,AUTHORIZED_FOR_CONTROLLED_REMOTE_PATCH_PREPARATION
0.5.10,0.4.12,SeshatSgin/torre-gemela-escribania,codex/sdu-0.5.10-tge-sdu-cn-validator-log-triage,false,false,false,false,false,true,true,true,READY_FOR_OPERATOR_LOG_EXPORT_OR_OWNER_AUTHORIZATION
0.5.11,0.4.x_canon_boundary_language,SeshatSgin/sdu-canon,codex/sdu-0.5.11-canon-hard-no-live-reconciliation,false,false,false,false,false,true,true,true,READY_FOR_CANON_PATCH_AUTHORIZATION
0.5.12,0.4.x_canon_evidence_consistency,SeshatSgin/cdf-soluciones,codex/sdu-0.5.12-canon-evidence-path-count-consistency,false,false,false,false,false,true,true,true,READY_FOR_BATCH_PATCH_AUTHORIZATION
