check_id,surface,source,current_state,evidence_path,risk_level,blocking,recommended_action,status
repo.branch,git_local,git branch --show-current,codex/cabina-cloud-agents-sdk-baseline-20260603,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,low,false,continue on codex branch,OK
repo.main_sync,git_remote,git fetch origin --prune,HEAD equals origin/main at 0f585f7b95bfb3e2079d74ec5ef6d7e7cf02f376,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,low,false,use main as base,OK
repo.worktree,git_local,git status --short,clean before edits,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,low,false,keep explicit staging only,OK
github.open_prs,github,gh pr list open,no open PRs at intake,GitHub PR list,low,false,open new draft PR after commit,OK
github.merged_prs,github,gh pr list merged,PR55 PR54 PR53 PR52 PR51 PR50 PR49 PR43 PR42 PR41 merged recently,GitHub PR list,low,false,use PR55 merge as current rector state,OK
github.actions,github_actions,gh run list,Cabina Validation latest main push 26863074058 success,https://github.com/universo-rey/cabina-universal-d/actions/runs/26863074058,low,false,keep full gate as merge blocker,OK
root.agents_manifest,repo_files,AGENTS.md and MANIFEST.yaml,both present and hashed,AGENTS.md|MANIFEST.yaml,low,false,use AGENTS then MANIFEST on contradiction,OK
root.allowlist,repo_files,.gitignore,narrow root allowlist active but governance/agents and apps/sdu-agent-runtime absent before this branch,D:/.gitignore,medium,false,add narrow allowlist for ordered baseline paths,RESOLVED_IN_THIS_BRANCH
nested.repos,registered_repos,01_GOVERNANCE_REGISTRY/REPOSITORIES.csv,13 registered nested repos exist as independent git repos and are clean,01_GOVERNANCE_REGISTRY/REPOSITORIES.csv,low,false,do not absorb or mutate nested repos,OK
validators.required,local_tools,.agents/codex/tools,all requested validators exist,.agents/codex/tools,low,false,run required validators after edits,OK
readbacks.docs,repo_files,docs/readbacks,docs/readbacks missing,docs/readbacks,low,false,record as nonblocking because .agents/codex/readbacks is active evidence surface,GAP_NONBLOCKING
readbacks.codex,repo_files,.agents/codex/readbacks,56 readback files present before this branch,.agents/codex/readbacks,low,false,write new sanitized readbacks there,OK
codex_cloud.cabina,codex_cloud_matrices,CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv,cabina environment visible with READY_NO_DIFF smoke evidence,.agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv,low,false,do not create duplicate environment,OK
agents_sdk.root_preexisting,repo_scan,git ls-files and rg,preexisting cabina SDK lane found as preflight/order/reference files not as root runtime skeleton,.agents/codex/matrices/GITHUB_AUTOMATION_PREFLIGHT_MATRIX.csv|.agents/codex/matrices/OPENAI_UPSTREAM_REFERENCE_MATRIX.csv|.agents/codex/maps/RUNTIME_PARALLEL_ACTIVATION.md,low,false,reuse existing preflight and do not duplicate policy lane,OK
agents_sdk.local_import,local_validator,local_validate_github_automation_preflight.ps1 -CheckLocalSdk,openai-agents=0.17.0 and openai=2.36.0 smoke OK_NO_API_CALL,.agents/codex/tools/local_validate_github_automation_preflight.ps1,low,false,keep SDK import local and no-api,OK
agents_sdk.registered_repos,registered_repo_scan,git ls-files in registered repos,existing SDK/runtime material found in TCU_AGENTIC_RUNTIME TGE_AGENTIC_RUNTIME ORGANIZACION MICROSOFT_AGENTS_GOVERNED_LAB TORRE_GEMELA_ESCRIBANIA and CDF_SOLUCIONES,01_GOVERNANCE_REGISTRY/REPOSITORIES.csv,medium,false,prepare propagation sequence instead of touching those repos,OK
agents_sdk.root,repo_scan,rg Agents SDK and path checks,no apps/sdu-agent-runtime or governance/agents baseline existed at intake and no preexisting sdu-triage-agent found,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,medium,false,create local/no-live baseline only,RESOLVED_IN_THIS_BRANCH
live.boundaries,policy,AGENTS.md and matrices,Microsoft live OpenAI API live production permissions secrets remain blocked without separate order,AGENTS.md|.agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv,high,true,stop if requested during this lane,ACTIVE_STOP_CONDITION
