surface,default_status,allowed_agent_level,requires_order,blocked_without_order,evidence
local_filesystem,allowed,all,no,secrets|destructive_delete,readback
local_git_readonly,allowed,02_REGISTRO_Y_CARTOGRAFIA,no,git_add|commit|push,status_readback
github_remote_readonly,allowed,02_REGISTRO_Y_CARTOGRAFIA,no,write_actions|merge_without_approved_precheck|labels_without_order,remote_readback
github_write,governed,01_AUTORIDAD_Y_GATES,yes,merge_without_approved_precheck|force_push|branch_delete,order_and_postcheck
openai_api,governed,03_CORTE_EJECUTORA,yes,cost|secret|real_data_without_order,usage_readback
remote_persistent_agent,governed,03_CORTE_EJECUTORA,yes,agent_builder_persist_without_gate,activation_readback
sharepoint_live_write,governed,04_TORRES_DE_UNIVERSO,yes,write_without_surface_order,postcheck_readback
microsoft_tenant_write,governed,01_AUTORIDAD_Y_GATES,yes,permissions_or_production_change,admin_readback
power_platform_mutation,governed,01_AUTORIDAD_Y_GATES,yes,flow_or_app_mutation_without_order,postcheck_readback
secrets,blocked,01_AUTORIDAD_Y_GATES,yes,repo_or_prompt_secret_materialization,secret_scan_readback
