domain,surface,status,execution_allowed,required_gate,required_target,required_owner,required_rollback,required_postcheck,required_evidence,secrets_policy,current_execution_state,next_gate
OpenAI,OpenAI API,ENABLED_GOVERNED,yes_if_governed_gate_passes,governed_live_order,exact_api_operation_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_smoke_or_readback_required,never_print_never_persist,ENABLED_NOT_EXECUTED_IN_THIS_UPDATE,next_openai_live_gate_with_synthetic_payload_only
OpenAI,Responses API,ENABLED_GOVERNED,yes_if_governed_gate_passes,governed_live_order,exact_response_operation_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_smoke_or_readback_required,never_print_never_persist,ENABLED_NOT_EXECUTED_IN_THIS_UPDATE,next_responses_live_gate_with_synthetic_payload_only
OpenAI,Agents SDK Runtime,ENABLED_GOVERNED,yes_if_governed_gate_passes,governed_runtime_order,exact_runtime_task_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_runner_evidence_required,never_print_never_persist,ENABLED_NOT_EXECUTED_IN_THIS_UPDATE,next_agents_sdk_runtime_gate
Codex,Codex Cloud,ENABLED_GOVERNED,yes_if_repo_scoped_gate_passes,codex_cloud_governed_lane,exact_repo_branch_task_required,owner_agent_required,rollback_or_no_apply_required,postcheck_diff_required,codex_task_readback_required,never_print_never_persist,ENABLED_NOT_EXECUTED_IN_THIS_UPDATE,next_codex_cloud_repo_scoped_gate
GitHub,GitHub,ENABLED_GOVERNED,yes_if_github_lifecycle_gate_passes,github_pr_lifecycle_governed,exact_repo_branch_pr_required,owner_agent_required,revert_commit_or_close_pr_required,checks_or_postcheck_required,pr_readback_required,never_print_never_persist,EXECUTED_FOR_THIS_CANON_PR_ONLY,next_pr_checks
Microsoft,Microsoft Graph,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,tenant_surface_governed_order,exact_tenant_object_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_graph_object_order
Microsoft,SharePoint,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,sharepoint_governed_order,exact_site_list_item_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_sharepoint_object_order
Microsoft,Teams,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,teams_governed_order,exact_team_channel_message_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_teams_object_order
Microsoft,Planner,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,planner_governed_order,exact_plan_bucket_task_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_planner_object_order
Microsoft,Power Platform,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,power_platform_governed_order,exact_environment_solution_flow_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_power_platform_object_order
Production,Production,ENABLED_GOVERNED_GATED,yes_only_with_exact_target,production_governed_order,exact_production_target_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,GATED_READY_NOT_EXECUTED,next_production_target_order
Propagation,Multi-repo propagation,ENABLED_GOVERNED_GATED,yes_repo_by_repo_after_gate,repo_propagation_governed_order,exact_repo_branch_file_scope_required,owner_agent_required,rollback_required,postcheck_required,repo_pr_readback_required,never_print_never_persist,PROPAGATION_ENABLED_GOVERNED_GATED_NOT_EXECUTED,next_repo_by_repo_propagation_gate
