"item_id","item_type","source_surface","source_path","display_name","carril","status","owner_agent","reviewer_agent","requires_live","requires_secret","requires_mcp","requires_openai","requires_data_analytics","gate_required","runner_or_command","validator","evidence","rollback","stop_condition","notes"
"agentes-atomicos-algoritmicos-en-waves","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\agentes-atomicos-algoritmicos-en-waves.md","agentes-atomicos-algoritmicos-en-waves.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Agentes Atomicos Algoritmicos En Waves"
"canon-documental","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\canon-documental.md","canon-documental.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Canon Documental"
"cierre-wave-documental","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\cierre-wave-documental.md","cierre-wave-documental.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Cierre Wave Documental"
"complementos-on-demand","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\complementos-on-demand.md","complementos-on-demand.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Complementos On Demand"
"configuracion-entorno-codex-ui","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\configuracion-entorno-codex-ui.md","configuracion-entorno-codex-ui.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Configuracion Entorno Codex UI"
"dataverse-rehidratacion","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\dataverse-rehidratacion.md","dataverse-rehidratacion.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Dataverse Rehidratacion"
"documentos-canon-atomico","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\documentos-canon-atomico.md","documentos-canon-atomico.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Documentos Canon Atomico"
"INDICE_RECETAS","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\INDICE_RECETAS.md","INDICE_RECETAS.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Indice De Recetas"
"limpieza-pc-local-segura","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\limpieza-pc-local-segura.md","limpieza-pc-local-segura.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Limpieza PC Local Segura"
"MAPA","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\MAPA.md","MAPA.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Mapa de Recetas"
"microsoft-live-read-preliminar","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\microsoft-live-read-preliminar.md","microsoft-live-read-preliminar.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Receta Microsoft Live Read Preliminar"
"normalizacion-perfil-windows","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\normalizacion-perfil-windows.md","normalizacion-perfil-windows.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Normalizacion Perfil Windows"
"procedencia-layout-on-demand","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\procedencia-layout-on-demand.md","procedencia-layout-on-demand.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Procedencia Layout On Demand"
"promocion-huella-tenant-dataverse","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\promocion-huella-tenant-dataverse.md","promocion-huella-tenant-dataverse.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Receta - Promocion Huella Tenant Dataverse"
"promocion-seshat-home-sharepoint","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\promocion-seshat-home-sharepoint.md","promocion-seshat-home-sharepoint.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Receta - Promocion Seshat Home SharePoint"
"README","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\README.md","README.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Recipes"
"sdu-dataverse-metadata-wave","recipe","repo/recipes","C:\Users\enzo1\PROJEC CDX\recipes\sdu-dataverse-metadata-wave.md","sdu-dataverse-metadata-wave.md","DELTA_EXECUTION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","recipe","tools.validate","recipes/INDICE_RECETAS.md","revert W4 matrix rows","recipe referenced but file missing","# Receta SDU Dataverse Metadata Wave"
"agent-retrospective-learning","skill",".codex/skills","C:\Users\enzo1\.codex\skills\agent-retrospective-learning\SKILL.md","agent-retrospective-learning","UNKNOWN","ACTIVE_LOCAL","court.sdu_gate","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Use when a completed governed frontier must be converted into reusable skills, recipes, validator candidates, agent deltas, prompt improvements, and reviewable readbacks without new live execution."
"agentation","skill",".codex/skills","C:\Users\enzo1\.codex\skills\agentation\SKILL.md","agentation","UNKNOWN","ACTIVE_LOCAL","court.sdu_gate","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Use when a Next.js project needs the Agentation visual feedback toolbar or a minimal UI-to-code setup for frontend work."
"browser:control-in-app-browser","skill",".codex/plugins/cache","C:\Users\enzo1\.codex\plugins\cache\openai-bundled\browser\26.611.62324\skills\control-in-app-browser\SKILL.md","control-in-app-browser","OPENAI_DEVELOPERS","PLUGIN_CACHE_REFERENCE","tech.reference_librarian","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Control the in-app Browser. Use to open, navigate, inspect, test, click, type, screenshot, or verify local targets such as localhost, 127.0.0.1, ::1, file://, the current in-app browser tab, and websites shown side by side inside Codex."
"cabina-4field-delegate","skill",".codex/skills","C:\Users\enzo1\.codex\skills\cabina-4field-delegate\SKILL.md","cabina-4field-delegate","UNKNOWN","ACTIVE_LOCAL","court.sdu_gate","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Delegate a task in the smallest possible package. Use when Codex needs a minimal handoff fast."
"cabina-4field-paper","skill",".codex/skills","C:\Users\enzo1\.codex\skills\cabina-4field-paper\SKILL.md","cabina-4field-paper","UNKNOWN","ACTIVE_LOCAL","court.sdu_gate","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Open a minimal four-field workpaper fast. Use when Codex needs the shortest possible starting packet."
"cabina-agent-delegation","skill",".codex/skills","C:\Users\enzo1\.codex\skills\cabina-agent-delegation\SKILL.md","cabina-agent-delegation","AGENT_DELEGATION","ACTIVE_CANON","rey.control_plane_orchestrator","court.sdu_gate","false","false","false","false","false","none","SKILL.md","tools.validate","operativa/archive/legacy-root/20260622/W4_SKILL_RECIPE_PLUGIN_RECONCILIATION_MATRIX_20260622.csv","revert W4 matrix rows","missing SKILL.md or live/cost surface without gate","Package a bounded task for a delegated agent. Use when Codex should hand off a lane without losing governance, context, or return shape."
