agent,lane,entrada,salida,limite,evidence,validator,next_dispatch
Seshat,AGENT_CHAIN_FACTORY,contratos_y_evidencia,canon_evidencia_skill_map,no_live_write,tools/ceo-agent-map.ps1,python -m tools.validate,dispatch_agent_chain_readonly
Thot,CABINA_DOCTOR,runtime_tools_configs,doctor_json_command_index,no_global_mutation,tools/ceo-cabina-doctor.ps1,tools/ceo-cabina-doctor.ps1 -Json,dispatch_runtime_repair_plan
Anubis,MCP_HUB,mcp_configs_gates,mcp_status_boundary,no_mcp_execution,tools/ceo-mcp-status.ps1,tools/ceo-mcp-status.ps1 -Json,dispatch_gate_packet
Maat,REMOTE_PUBLICATION_PIPELINE,diff_evidence_policy,compliance_decision,no_push_no_pr,operativa/tasks/20260623/CEO_PRODUCTIVE_CELL_G1_BACKLOG_20260623.csv,git diff --check,dispatch_publication_readiness
Horus,INTELLIGENCE_LOOP,patterns_risks_repetition,automation_backlog,no_silent_promotion,operativa/tasks/20260623/CEO_PRODUCTIVE_CELL_G1_BACKLOG_20260623.csv,tools/sdu_auto_remediation.py analyze,dispatch_pattern_promotion
Narrador,ALL,events_decisions,readback_minimo,no_long_report_without_capacity,operativa/tasks/20260623/READBACK_CEO_PRODUCTIVE_CELL_G1_20260623.md,python -m tools.validate,dispatch_closeout
Process Guard,COMMAND_FACTORY,process_before_build,shim_decision,no_duplicate_cli,tools/ceo-command-index.ps1,tools/ceo-command-index.ps1 -Json,dispatch_process_gate
Dataverse Modeler,DATAVERSE_MEMORY,capability_entities,memory_delta_metadata_only,no_table_creation,operativa/tasks/20260623/CEO_PRODUCTIVE_CELL_G1_MEMORY_DELTA_20260623.csv,metadata_only_gate,dispatch_memory_delta
Governance Auditor,ALL,asset_boundary_contract,owner_gate_matrix,no_unowned_surface,operativa/tasks/20260623/CEO_PRODUCTIVE_CELL_G1_CAPABILITY_MATRIX_20260623.csv,governance_contract_check,dispatch_governance_review
Run Support,CABINA_DOCTOR,broken_command_signal,repair_candidate,no_destructive_fix,tools/ceo-cabina-doctor.ps1,tools/ceo-cabina-doctor.ps1 -Json,dispatch_safe_remediation

