gate_id,target_version,surface,repo_or_system,objective,current_status,owner_decision_required,required_inputs,rollback_required,postcheck_required,evidence_required,blocked_by,recommended_order,decision,order_file,allowed_mode,external_action_allowed,sentinel_policy,next_state,expected_result
GATE_0.2.0_DATAVERSE_RUNTIME_ACTION_7_OWNER_CLASSIFICATION,0.2.0,dataverse,cabina-universal-d / Dataverse runtime registry,Clasificar septimo runtime action,CLOSED_LOCAL,yes,"owner classification; target row identity; allowed action; no-secret evidence",yes,yes,yes,none,1,DEV_ONLY_NO_DATAVERSE_APPLY,operativa/orders_0.2.x/ORDER_0.2.0_DATAVERSE_RUNTIME_ACTION_7_OWNER_CLASSIFICATION.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.0_CLOSED_DEV_ONLY_NO_APPLY,GATE_0.2.0_CLOSED_DEV_ONLY_NO_APPLY
GATE_0.2.1_CHANGE_AWARE_EVIDENCE_CABINA_SYNC,0.2.1,github/cabina-universal-d,cabina-universal-d,Sincronizar o regenerar evidencia change-aware en repo origen,BLOCKED_WITH_GATE_PACKET,yes,"repo target; source artifact; expected commit; regeneration command if present",yes,yes,yes,external repo lane,2,REQUIRES_REMOTE_REPO_GATE,operativa/orders_0.2.x/ORDER_0.2.1_CHANGE_AWARE_EVIDENCE_CABINA_SYNC.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.1_CHANGE_AWARE_CABINA_SYNC_PACKET_READY,CHANGE_AWARE_CABINA_SYNC_GATE_PACKET_READY
GATE_0.2.2_PR130_CONSTITUTION_SYNC_CABINA,0.2.2,github/cabina-universal-d,cabina-universal-d,Resolver drift entre MANIFEST y constitucion PR130,BLOCKED_WITH_GATE_PACKET,yes,"PR130 source evidence; manifest; constitution; owner decision",yes,yes,yes,external repo canon lane,3,REQUIRES_REMOTE_REPO_GATE,operativa/orders_0.2.x/ORDER_0.2.2_PR130_CONSTITUTION_SYNC_CABINA.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.2_PR130_CONSTITUTION_SYNC_PACKET_READY,PR130_CONSTITUTION_SYNC_GATE_PACKET_READY
GATE_0.2.3_GITHUB_LABELS_DEPENDABOT_PROJEC_CDX,0.2.3,github,universo-rey/projec-cdx,Crear o corregir labels requeridos por Dependabot,BLOCKED_WITH_GATE_PACKET,yes,"label list; repository owner; GitHub write permission",yes,yes,yes,GitHub write gate missing,4,REQUIRES_GITHUB_WRITE_GATE,operativa/orders_0.2.x/ORDER_0.2.3_GITHUB_LABELS_DEPENDABOT_PROJEC_CDX.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.3_GITHUB_LABELS_DEPENDABOT_PACKET_READY,GITHUB_LABELS_DEPENDABOT_GATE_PACKET_READY
GATE_0.2.4_SDU_CN_ISSUE_PREP_REMOTE_ALIGNMENT,0.2.4,github,SeshatSgin/seshat-bootstrap-sdu-cn,Alinear issue prep gate crosswalk en repo destino,BLOCKED_WITH_GATE_PACKET,yes,"target files; issue template; protocol; authorization matrix",yes,yes,yes,external repo write gate missing,5,REQUIRES_GITHUB_WRITE_GATE,operativa/orders_0.2.x/ORDER_0.2.4_SDU_CN_ISSUE_PREP_REMOTE_ALIGNMENT.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.4_SDU_CN_ISSUE_PREP_ALIGNMENT_PACKET_READY,SDU_CN_ISSUE_PREP_ALIGNMENT_GATE_PACKET_READY
GATE_0.2.5_DATAVERSE_DEV_ENV_PRECHECK_HARDENING,0.2.5,dataverse,cabina-universal-d / Dataverse DEV,Endurecer precheck de entorno DEV y dry-run import,BLOCKED_WITH_GATE_PACKET,yes,"target environment; pac auth evidence; dry-run readiness evidence; no apply",yes,yes,yes,Dataverse live gate missing,6,REQUIRES_DATAVERSE_READ_GATE,operativa/GATE_0.2.5_DATAVERSE_DEV_ENV_PRECHECK_PACKET_20260622.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.5_DATAVERSE_DEV_ENV_PRECHECK_PACKET_READY,DATAVERSE_DEV_ENV_PRECHECK_GATE_PACKET_READY
GATE_0.2.6_POWER_AUTOMATE_VALIDATOR_ENFORCEMENT,0.2.6,power_platform,cabina-universal-d / Power Automate,Impedir ready si validator Power Automate especifico no existe,BLOCKED_WITH_GATE_PACKET,yes,"validator identity; executable postcheck; owner exception if missing",yes,yes,yes,specific validator missing,7,REQUIRES_VALIDATOR_OR_OWNER_EXCEPTION,operativa/GATE_0.2.6_POWER_AUTOMATE_VALIDATOR_ENFORCEMENT_PACKET_20260622.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.6_POWER_AUTOMATE_VALIDATOR_ENFORCEMENT_PACKET_READY,POWER_AUTOMATE_VALIDATOR_GATE_PACKET_READY
GATE_0.2.7_CABINA_RUNTIME_CONNECTIONS_CI_FAILURE_TRIAGE,0.2.7,github/cabina-universal-d,cabina-universal-d,Preparar triage local de fallas CI runtime connections,BLOCKED_WITH_GATE_PACKET,yes,"workflow name; job name; remote logs gate; local hypothesis",yes,yes,yes,GitHub remote logs gate missing,8,REQUIRES_REMOTE_WORKFLOW_LOGS,operativa/GATE_0.2.7_CABINA_RUNTIME_CONNECTIONS_CI_FAILURE_PACKET_20260622.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.7_CI_FAILURE_TRIAGE_PACKET_READY,CABINA_RUNTIME_CONNECTIONS_CI_FAILURE_PACKET_READY
GATE_0.2.8_SDU_CN_GATE_ID_CANONICALIZATION,0.2.8,github/SeshatSgin,seshat-bootstrap-sdu-cn,Canonicalizar IDs de gates SDU-CN contra gates.yaml,BLOCKED_WITH_GATE_PACKET,yes,"gates.yaml; prompts; manifests; issue prep references",yes,yes,yes,external repo write gate missing,9,REQUIRES_REMOTE_REPO_GATE,operativa/GATE_0.2.8_SDU_CN_GATE_ID_CANONICALIZATION_PACKET_20260622.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.8_SDU_CN_GATE_ID_CANONICALIZATION_PACKET_READY,SDU_CN_GATE_ID_CANONICALIZATION_PACKET_READY
GATE_0.2.9_SDU_CN_LIVE_DRAFT_AND_TOOL_ENUM_ALIGNMENT,0.2.9,github/SeshatSgin,seshat-bootstrap-sdu-cn,Alinear orden viva no-live y enum de herramientas SDU-CN,BLOCKED_WITH_GATE_PACKET,yes,"live draft boundary; authorization matrix; tool enum list",yes,yes,yes,external repo write gate missing,10,REQUIRES_REMOTE_REPO_GATE,operativa/GATE_0.2.9_SDU_CN_LIVE_DRAFT_TOOL_ENUM_PACKET_20260622.md,LOCAL_ONLY,no,NO_EXTERNAL_WITHOUT_GATE,GATE_0.2.9_SDU_CN_LIVE_DRAFT_TOOL_ENUM_PACKET_READY,SDU_CN_LIVE_DRAFT_TOOL_ENUM_PACKET_READY
