graph_id,source_pattern,impacted_tags,priority_boost,additional_test_ids,expansion,reason
graph.workflow,.github/**,workflow|github|preflight|coverage,1,github_actions_policy|github_automation_preflight|change_aware_orchestrator_static,full_plus_ci,workflow_surface_changed
graph.orchestrator_tool,.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1,orchestrator|manifest|graph|coverage,1,change_aware_orchestrator_static|github_actions_policy,full,orchestrator_tool_changed
graph.orchestrator_validator,.agents/codex/tools/local_validate_change_aware_full_coverage_orchestrator.ps1,orchestrator|manifest|graph|coverage,1,change_aware_orchestrator_static|github_actions_policy,full,orchestrator_validator_changed
graph.test_manifest,.agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv,manifest|coverage|orchestrator,1,change_aware_orchestrator_static,full,test_manifest_changed
graph.impact_graph,.agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv,graph|coverage|orchestrator,1,change_aware_orchestrator_static,full,impact_graph_changed
graph.risk_policy,.agents/codex/matrices/CHANGE_AWARE_RISK_POLICY.csv,risk|coverage|orchestrator,1,change_aware_orchestrator_static,full,risk_policy_changed
graph.github_preflight,.agents/codex/matrices/GITHUB_AUTOMATION_PREFLIGHT_MATRIX.csv,github|workflow|preflight,2,github_automation_preflight|github_actions_policy,full,github_preflight_matrix_changed
graph.operational_chain,.agents/codex/matrices/OPERATIONAL_CHAIN_GOVERNANCE_MATRIX.csv,chain|governance|matrix,2,operational_chain|capability_use_hardening,full,operational_chain_changed
graph.capability_use,.agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv,capability|governance|matrix,2,capability_use_hardening|operational_chain,full,capability_use_changed
graph.autonomous,.agents/codex/matrices/AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,agents|codex_cloud|matrix,2,autonomous_agent_execution|codex_cloud_governed_lane,full,autonomous_matrix_changed
graph.instructions,AGENTS.md,instructions|governance|chain,1,agents_instruction_hierarchy|operational_chain|capability_use_hardening,full,root_instructions_changed
graph.root_manifest,MANIFEST.yaml,manifest|governance|repo_alignment,1,runtime_alignment|operational_chain|capability_use_hardening,full,root_manifest_changed
graph.authority,02_AUTHORITY_CANON/**,governance|frontier|chain,2,operational_chain|capability_use_hardening|github_automation_preflight,full,authority_changed
graph.registry,01_GOVERNANCE_REGISTRY/**,registry|repo_alignment|matrix,3,runtime_alignment|agent_layer,full,registry_changed
graph.skills,.agents/skills/**,skills|metadata|capability,3,skill_metadata|capability_use_hardening|agent_layer,full,repo_local_skill_changed
graph.tools,.agents/codex/tools/**,tools|validators|runtime,2,agent_layer|change_aware_orchestrator_static,full,tool_changed
graph.matrices,.agents/codex/matrices/**,matrix|governance|agents,3,agent_layer|operational_chain|capability_use_hardening,full,matrix_changed
graph.agent_global_operability_matrices,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_*,agent_global_operability|matrix|coverage,1,agent_global_operability_package|agent_global_operability_semaphore|agent_layer,full,agent_global_operability_matrix_changed
graph.agent_global_operability_maps,.agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_*,agent_global_operability|map|coverage,1,agent_global_operability_package|agent_layer,full,agent_global_operability_map_changed
graph.agent_global_operability_validators,.agents/codex/tools/local_validate_agent_global_operability_*.ps1,agent_global_operability|tools|validators|coverage,1,agent_global_operability_package|agent_global_operability_semaphore|change_aware_orchestrator_static,full,agent_global_operability_validator_changed
graph.default,**,all,50,,full,unknown_or_unmapped_change
