delta_id,source_email_subject,repo,surface,category,issue_summary,evidence_ref,already_covered_by_gate,new_gate_required,recommended_version,status
DELTA-0.2.5-DV-ENV-PRECHECK,Governed Dataverse DEV registry and runtime package,cabina-universal-d,Dataverse DEV,DATAVERSE_DEV_ENV_PRECHECK,PAC auth can point to a different environment so DEV readiness must check exact target,email_rescan:dataverse_dev_registry,false,true,0.2.5,NEW_GATE_REQUIRED
DELTA-0.2.5-DV-DRY-RUN,Governed Dataverse DEV registry and runtime package,cabina-universal-d,Dataverse import dry-run,DATAVERSE_DRY_RUN_GATE,Dry-run import still requires DEV readiness even when apply is false,email_rescan:dataverse_dev_registry,false,true,0.2.5,MERGED_IN_0.2.5
DELTA-0.2.6-POWER-AUTOMATE-VALIDATOR,Controlled DEV runtime activation evidence,cabina-universal-d,Power Automate,POWER_AUTOMATE_VALIDATOR_MISSING,Gate must not be ready while the specific Power Automate validator is NO_DISPONIBLE,email_rescan:power_automate_validator,false,true,0.2.6,NEW_GATE_REQUIRED
DELTA-0.2.7-CABINA-RUNTIME-CI,PR run failed SDU Agent Runtime Connections Validation,cabina-universal-d,GitHub Actions,CABINA_RUNTIME_CONNECTIONS_CI_FAILURE,Runtime connections CI failure needs remote log gate and local triage packet,email_rescan:runtime_connections_ci,false,true,0.2.7,NEW_GATE_REQUIRED
DELTA-0.2.8-SDU-CN-GATE-ID,SeshatSgin bootstrap SDU CN gates,SeshatSgin/seshat-bootstrap-sdu-cn,gates,SDU_CN_GATE_ID_DRIFT,Gate IDs must be canonicalized against gates.yaml and G16/G27 issue prep drift,email_rescan:sdu_cn_gates,false,true,0.2.8,NEW_GATE_REQUIRED
DELTA-0.2.9-SDU-CN-LIVE-DRAFT,SeshatSgin bootstrap SDU CN order viva,SeshatSgin/seshat-bootstrap-sdu-cn,live draft,SDU_CN_LIVE_DRAFT_BOUNDARY,Order viva must stay repo-only and not live until explicit owner gate,email_rescan:sdu_cn_order_viva,false,true,0.2.9,NEW_GATE_REQUIRED
DELTA-0.2.9-SDU-CN-TOOL-ENUM,SeshatSgin bootstrap SDU CN authorization matrix,SeshatSgin/seshat-bootstrap-sdu-cn,tool enum,SDU_CN_TOOL_ENUM_DRIFT,herramienta_solicitada enum is behind the authorization matrix,email_rescan:sdu_cn_tool_enum,false,true,0.2.9,MERGED_IN_0.2.9
DELTA-0.2.10-SDU-CN-VALIDATOR,Close post gate SDU CN acta and validation artifacts,SeshatSgin/seshat-bootstrap-sdu-cn,validator registration,SDU_CN_VALIDATOR_REGISTRATION,New validator must be registered in manifests and CI before it can govern,email_rescan:sdu_cn_validator,false,true,0.2.10,NEW_GATE_REQUIRED
DELTA-0.2.3-GITHUB-DEPENDABOT-LABELS,Dependabot labels and repository hygiene,universo-rey/projec-cdx,GitHub labels,GITHUB_DEPENDABOT_LABELS,Dependabot labels were already covered by gate 0.2.3,email_rescan:dependabot_labels,true,false,0.2.3,COVERED_BY_EXISTING_GATE
DELTA-0.2.11-LOCAL-AGENT-MEMORY,Local agent memory autosync boundary,codex-local,agent memory,LOCAL_AGENT_MEMORY_BOUNDARY,agentMemory autoSyncToFile can write memory into tracked workpaper without boundary,email_rescan:local_agent_memory,false,true,0.2.11,NEW_GATE_REQUIRED
DELTA-0.2.12-LOCAL-BRIDGE-AUTH,Local bridge auth validator false pass,codex-local,local bridge,LOCAL_BRIDGE_AUTH_VALIDATOR_FALSE_PASS,Validator can pass by counting assertDevAuth definition instead of guarded route calls,email_rescan:local_bridge_auth,false,true,0.2.12,NEW_GATE_REQUIRED
DELTA-0.2.13-AGILE-CANVAS,Agile Canvas postcheck enforcement,codex-local,Agile Canvas,AGILE_CANVAS_POSTCHECK_NOT_ENFORCED,Declared validator is not enforced by executable dashboard postcheck,email_rescan:agile_canvas_postcheck,false,true,0.2.13,NEW_GATE_REQUIRED
DELTA-0.2.1-EVIDENCE-SOURCE-PATH,Change aware evidence source path drift,cabina-universal-d,evidence,EVIDENCE_SOURCE_PATH_DRIFT,Evidence source path drift is already covered by change-aware cabina gate,email_rescan:evidence_source_path,true,false,0.2.1,COVERED_BY_EXISTING_GATE
DELTA-0.2.14-DEPENDENCY-PR-QUEUE,Dependency PR review queue,universo-rey/projec-cdx,GitHub PRs,DEPENDENCY_PR_REVIEW_QUEUE,Dependency PRs need review packets before approve merge or update,email_rescan:dependency_pr_queue,false,true,0.2.14,NEW_GATE_REQUIRED
