queue_id,storage_surface,owner_or_workspace,group_or_kind,size_mb,file_count,action_class,risk,gate,recommendation,stop_condition
vsi.storage.global.001,globalStorage,github.vscode-codeql,github,637.97,3270,REVIEW_BEFORE_CLEANUP,medium,GATE_DESTRUCTIVE_ACTION,"review CodeQL cache ownership and active analysis use before deleting anything",PENDING_APPROVAL_ONLY
vsi.storage.global.002,globalStorage,microsoft-isvexptools.powerplatform-vscode,microsoft_365_power,192.11,1449,OBSERVE,medium,GATE_DESTRUCTIVE_ACTION;GATE_POWER_PLATFORM_APPLY,"observe for now; do not delete while Power Platform lane is being prepared",PENDING_APPROVAL_ONLY
vsi.storage.global.003,globalStorage,docsmsft.docs-preview,microsoft_365_power,125.44,2448,OBSERVE,low,GATE_DESTRUCTIVE_ACTION,"observe; candidate only if VSI performance/storage pressure becomes real",PENDING_APPROVAL_ONLY
vsi.storage.global.004,globalStorage,ms-dotnettools.vscode-dotnet-runtime,dev_runtime,76.60,193,OBSERVE,low,GATE_DESTRUCTIVE_ACTION,"observe; may be needed for CSharp and dotnet extension runtime",PENDING_APPROVAL_ONLY
vsi.storage.global.005,globalStorage,eamodio.gitlens,github,19.89,1,LOW_PRIORITY,low,GATE_DESTRUCTIVE_ACTION,"low priority; preserve unless stale-state issue appears",EXECUTED_LOCAL_VALIDATED
vsi.storage.workspace.001,workspaceStorage,torre-gemela-escribania,folder,89.69,511,REVIEW_BEFORE_CLEANUP,medium,GATE_DESTRUCTIVE_ACTION;GATE_DATA_REGULATED,"confirm this workspace is inactive/stale before any cleanup because it may hold active cabina context",PENDING_APPROVAL_ONLY
vsi.storage.workspace.002,workspaceStorage,Cumplimiento,folder,11.93,51,LOW_PRIORITY,medium,GATE_DESTRUCTIVE_ACTION;GATE_DATA_REGULATED,"preserve by default because name suggests compliance context",EXECUTED_LOCAL_VALIDATED
vsi.storage.workspace.003,workspaceStorage,agent-sessions.code-workspace,workspace,1.91,31,LOW_PRIORITY,low,GATE_DESTRUCTIVE_ACTION,"preserve; useful as agent session context",EXECUTED_LOCAL_VALIDATED
vsi.storage.workspace.004,workspaceStorage,CDF-Soluciones-Architecture.code-workspace,workspace,1.46,14,LOW_PRIORITY,low,GATE_DESTRUCTIVE_ACTION,"preserve; architecture workspace context",EXECUTED_LOCAL_VALIDATED
vsi.storage.workspace.005,workspaceStorage,cabina-universal-d,folder,0.82,13,LOW_PRIORITY,low,GATE_DESTRUCTIVE_ACTION,"preserve current cabina workspace storage",EXECUTED_LOCAL_VALIDATED
