gate,source_gate,repo,surface,patch_type,status,owner_required,rollback,postcheck,evidence,next_action
0.4.0,0.3.4,universo-rey/cabina-universal-d,github_code,dataverse_dev_precheck,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_remote_patch,run_precheck_wrong_env_and_apply_false_dry_run,operativa/GATE_0.3.4_DATAVERSE_DEV_PRECHECK_PATCH_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.1,0.3.5,universo-rey/cabina-universal-d,github_code,power_automate_validator,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_remote_patch,validator_invoked_or_ready_downgraded,operativa/GATE_0.3.5_POWER_AUTOMATE_VALIDATOR_PATCH_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.2,0.3.10,universo-rey/cabina-universal-d,github_code,bridge_auth_validator,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_remote_patch,route_specific_auth_validator_passes,operativa/GATE_0.3.10_BRIDGE_AUTH_VALIDATOR_PATCH_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.3,0.3.15,universo-rey/cabina-universal-d,github_code,bridge_loopback_mcp_gating,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_remote_patch,non_loopback_and_approval_required_are_blocked,operativa/GATE_0.3.15_BRIDGE_LOOPBACK_MCP_GATING_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.4,0.3.16,universo-rey/cabina-universal-d,github_actions,governance_ci_path_coverage,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_workflow_patch,governance_paths_trigger_validation,operativa/GATE_0.3.16_GOVERNANCE_CI_PATH_COVERAGE_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.5,0.3.17,universo-rey/cabina-universal-d,github_actions,no_ps_validator_wiring,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_validator_wiring,validator_runs_in_ci_suite,operativa/GATE_0.3.17_NO_PS_VALIDATOR_WIRING_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.6,0.3.18,universo-rey/cabina-universal-d,github_actions,mcp_codex_cloud_preflight_checkout,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_workflow_patch,diff_commands_have_base_and_head,operativa/GATE_0.3.18_MCP_CODEX_CLOUD_PREFLIGHT_CHECKOUT_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.7,0.3.19,universo-rey/cabina-universal-d,github_code,local_synthetic_harness_fixture,READY_FOR_REMOTE_PATCH_AUTHORIZATION,true,revert_harness_patch,harness_runs_with_sanitized_fixture,operativa/GATE_0.3.19_LOCAL_SYNTHETIC_HARNESS_PACKET_20260622.md,OPEN_REMOTE_PATCH_GATE_WHEN_AUTHORIZED
0.4.8,0.3.20,universo-rey/cabina-universal-d,github_evidence,change_aware_evidence_refresh,READY_FOR_REMOTE_REGEN_AUTHORIZATION,true,revert_regenerated_evidence,registered_and_actual_files_match,operativa/GATE_0.3.20_CHANGE_AWARE_EVIDENCE_REFRESH_PACKET_20260622.md,OPEN_REMOTE_REGEN_GATE_WHEN_AUTHORIZED
0.4.9,0.3.13,universo-rey/cabina-universal-d,github_actions_logs,cabina_runtime_ci_log_collection,READY_FOR_REMOTE_LOG_COLLECTION_GATE,true,no_mutation_read_only_logs,logs_collected_and_classified_without_rerun,operativa/READBACK_GATE_0.3.13_CABINA_RUNTIME_CI_TRIAGE_20260622.md,OPEN_REMOTE_LOG_GATE_WHEN_AUTHORIZED
