"surface","path","gap","severity","owner_agent","next_delta","evidence"
"Auditar","C:\Users\enzo1\Documents\GitHub\Auditar","not_git_repo","OBSERVED","thot-tecnico","classify_folder_as_archive_reference_or_promote_to_repo","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"cabina-universal-d","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"cabina-universal-d","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M 02_AUTHORITY_CANON/CURRENT_STATE.md |  M 02_AUTHORITY_CANON/REPO_OPERATING_CONTRACT_CABINA_UNIVERSAL_D_20260604.md"
"cdf_gate68_solution_clone","C:\Users\enzo1\Documents\GitHub\cdf_gate68_solution_clone","not_git_repo","OBSERVED","thot-tecnico","classify_folder_as_archive_reference_or_promote_to_repo","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"cdf-soluciones","C:\Users\enzo1\Documents\GitHub\cdf-soluciones","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"cdf-soluciones","C:\Users\enzo1\Documents\GitHub\cdf-soluciones","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M 00_CONTEXT/CURRENT_STATE.md |  M 00_CONTEXT/START_HERE.md |  M README.md | ?? 03_OPERACION/SESHAT_HOME_BINDING_DELEGATION/ | ?? 03_OPERACION/SESHAT_RESTO_CORTE_DELEGATION/ | ?? 08_EVIDENCIA/2026-06-16_CDF_SESHAT_HOME_BINDING_DELEGATION/"
"jara-consultores","C:\Users\enzo1\Documents\GitHub\jara-consultores","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"jara-consultores","C:\Users\enzo1\Documents\GitHub\jara-consultores","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"microsoft-agents-governed-lab","C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"microsoft-agents-governed-lab","C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"modo-on-foundation","C:\Users\enzo1\Documents\GitHub\modo-on-foundation","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"modo-on-foundation","C:\Users\enzo1\Documents\GitHub\modo-on-foundation","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"organizacion","C:\Users\enzo1\Documents\GitHub\organizacion","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"organizacion","C:\Users\enzo1\Documents\GitHub\organizacion","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"sdu-canon","C:\Users\enzo1\Documents\GitHub\sdu-canon","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"sdu-canon","C:\Users\enzo1\Documents\GitHub\sdu-canon","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M 00_CONTEXT/CURRENT_STATE.md"
"seshat-bootstrap-sdu-cn","C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"seshat-bootstrap-sdu-cn","C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md |  M workspace/README.md |  M workspace/documents/drafts/README.md | ?? agents/sdu_cn/SDU_CN_CANON_COPILOT_PROMPT.md | ?? workspace/documents/drafts/ACTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md | ?? workspace/documents/drafts/APERTURA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md"
"Sgin","C:\Users\enzo1\Documents\GitHub\Sgin","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"Sgin","C:\Users\enzo1\Documents\GitHub\Sgin","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md | ?? torres/"
"Sgin__wt_dictamen_n2","C:\Users\enzo1\Documents\GitHub\Sgin__wt_dictamen_n2","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"Sgin__wt_dictamen_n3_skills","C:\Users\enzo1\Documents\GitHub\Sgin__wt_dictamen_n3_skills","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"Sgin__wt_memory_hygiene","C:\Users\enzo1\Documents\GitHub\Sgin__wt_memory_hygiene","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"Sgin__wt_tge_staging","C:\Users\enzo1\Documents\GitHub\Sgin__wt_tge_staging","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"sgin-cumplimiento","C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"sgin-cumplimiento","C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"tcu-agentic-runtime-control","C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"tcu-agentic-runtime-control","C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
"tge-agentic-runtime-control-escribania","C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","missing_mapa_md","DELTA","seshat-normativa","decide_if_repo_needs_mapa_or_use_readme_agents_only","WORKBENCH_COMPLETION_REPOS_20260617.csv"
"tge-agentic-runtime-control-escribania","C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","dirty_worktree","DELTA","anubis-gate","inspect_repo_diff_and_package_commit_or_archive"," M README.md"
