exclusion,reason,status,gate_required,next_action
v0.6.0_final,"RC1 no declara version final",EXCLUDED,YES,"Promote to final en delta separado"
push_branch,"Publicacion remota no autorizada en este cierre",EXCLUDED,YES,"CABINA_REMOTE_PUBLICATION_DECISION"
push_tag,"Tag queda local-only",EXCLUDED,YES,"TAG_PUSH_AUTHORIZATION si owner decide publicar"
pull_request,"PR fuera del alcance del cierre local",EXCLUDED,YES,"OPEN_GOVERNED_PR si owner decide publicar"
merge,"No merge sin PR/revision/checks",EXCLUDED,YES,"Governed merge gate"
workflow_dispatch,"No disparar workflows desde cierre local",EXCLUDED,YES,"Workflow gate separado"
dataverse_write,"Dataverse live write no ejecutado",EXCLUDED,YES,"Dataverse owner gate"
microsoft_write,"Microsoft/SharePoint/Teams/Power Platform write no ejecutado",EXCLUDED,YES,"Microsoft live gate"
openai_live,"OpenAI API live no ejecutado",EXCLUDED,YES,"OpenAI live gate con clave y no-secret-print"
codex_cloud_execution,"Codex Cloud execution no ejecutado",EXCLUDED,YES,"Codex Cloud gate"
mcp_execution,"MCP execution no ejecutado",EXCLUDED,YES,"MCP gate"
secret_read_or_print,"Secretos no leidos ni impresos",EXCLUDED,YES,"Secret handling gate"
codex_db_cache_cleanup,"No mutar DB/cache/workspaceStorage de .codex",EXCLUDED,YES,"Local cleanup gate con backup"
child_repo_mutation,"No propagar por inferencia a repos hijos",EXCLUDED,YES,"Un repo por gate"
destructive_cleanup,"No borrar, resetear ni limpiar destructivamente",EXCLUDED,YES,"Manual cleanup gate"
